OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000044,
       cpu          kbest:,0.003084544,
       cpu        average:,0.003652772,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000543,
      send          kbest:,0.000000892,
      send        average:,0.000001987,
      recv          kbest:,0.000001178,
      recv        average:,0.000002120,
  big send          kbest:,0.000010901,
  big send        average:,0.000013213,
  big recv          kbest:,0.000020153,
  big recv        average:,0.000031995,
context siwtch          kbest:,0.000004996,
context siwtch        average:,0.000006100,
      fork          kbest:,0.000081341,
      fork       average:,0.000185664,
      fork    Child kbest:,0.000173684,
      fork Child average:,0.000320562,
thr create          kbest:,0.000010522,
thr create       average:,0.000024105,
thr create    Child kbest:,0.000015596,
thr create Child average:,0.000034732,
  big fork          kbest:,0.001816627,
  big fork       average:,0.002634842,
  big fork    Child kbest:,0.001987958,
  big fork Child average:,0.002789573,
 huge fork          kbest:,0.004639601,
 huge fork       average:,0.005855154,
 huge fork    Child kbest:,0.004786454,
 huge fork Child average:,0.005997409,
small write          kbest:,0.000001486,
small write        average:,0.000001756,
small read          kbest:,0.000000815,
small read        average:,0.000000855,
small mmap          kbest:,0.000000995,
small mmap        average:,0.000001260,
small munmap          kbest:,0.000001566,
small munmap        average:,0.000001607,
small page fault          kbest:,0.000001158,
small page fault        average:,0.000001206,
 mid write          kbest:,0.000007839,
 mid write        average:,0.000008061,
  mid read          kbest:,0.000003297,
  mid read        average:,0.000003498,
  mid mmap          kbest:,0.000000978,
  mid mmap        average:,0.000001028,
mid munmap          kbest:,0.000005347,
mid munmap        average:,0.000005535,
mid page fault          kbest:,0.000001755,
mid page fault        average:,0.000001800,
 big write          kbest:,0.000807809,
 big write        average:,0.000827876,
  big read          kbest:,0.000375895,
  big read        average:,0.000383701,
  big mmap          kbest:,0.000001005,
  big mmap        average:,0.000001042,
big munmap          kbest:,0.000132007,
big munmap        average:,0.000135816,
big page fault          kbest:,0.000002394,
big page fault        average:,0.000002732,
huge write          kbest:,0.013166585,
huge write        average:,0.013462563,
 huge read          kbest:,0.019656067,
 huge read        average:,0.019959252,
 huge mmap          kbest:,0.000000988,
 huge mmap        average:,0.000001027,
huge munmap          kbest:,0.001484379,
huge munmap        average:,0.001519396,
huge page fault          kbest:,0.000002417,
huge page fault        average:,0.000002765,
    select          kbest:,0.000001580,
    select        average:,0.000001759,
      poll          kbest:,0.000001539,
      poll        average:,0.000001695,
     epoll          kbest:,0.000001725,
     epoll        average:,0.000001962,
select big          kbest:,0.000115075,
select big        average:,0.000126088,
  poll big          kbest:,0.000125879,
  poll big        average:,0.000137436,
 epoll big          kbest:,0.000149016,
 epoll big        average:,0.000167960,
