OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003111434,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000079,
      send          kbest:,0.000000328,
      send        average:,0.000001140,
      recv          kbest:,0.000000477,
      recv        average:,0.000001472,
  big send          kbest:,0.000009723,
  big send        average:,0.000014837,
  big recv          kbest:,0.000015200,
  big recv        average:,0.000028925,
context siwtch          kbest:,0.000002902,
context siwtch        average:,0.000003729,
      fork          kbest:,0.000082392,
      fork       average:,0.000194753,
      fork    Child kbest:,0.000114278,
      fork Child average:,0.000291450,
thr create          kbest:,0.000007529,
thr create       average:,0.000019207,
thr create    Child kbest:,0.000009849,
thr create Child average:,0.000031299,
  big fork          kbest:,0.001614388,
  big fork       average:,0.002118111,
  big fork    Child kbest:,0.001675177,
  big fork Child average:,0.002311151,
 huge fork          kbest:,0.003439085,
 huge fork       average:,0.004772667,
 huge fork    Child kbest:,0.003540831,
 huge fork Child average:,0.004963988,
small write          kbest:,0.000000806,
small write        average:,0.000000958,
small read          kbest:,0.000000322,
small read        average:,0.000000362,
small mmap          kbest:,0.000000402,
small mmap        average:,0.000000449,
small munmap          kbest:,0.000000756,
small munmap        average:,0.000000827,
small page fault          kbest:,0.000000625,
small page fault        average:,0.000000674,
 mid write          kbest:,0.000007087,
 mid write        average:,0.000007443,
  mid read          kbest:,0.000002778,
  mid read        average:,0.000003038,
  mid mmap          kbest:,0.000000384,
  mid mmap        average:,0.000000415,
mid munmap          kbest:,0.000003016,
mid munmap        average:,0.000003143,
mid page fault          kbest:,0.000001147,
mid page fault        average:,0.000001178,
 big write          kbest:,0.000793133,
 big write        average:,0.000818744,
  big read          kbest:,0.000369615,
  big read        average:,0.000385152,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000435,
big munmap          kbest:,0.000129884,
big munmap        average:,0.000133519,
big page fault          kbest:,0.000001681,
big page fault        average:,0.000001788,
huge write          kbest:,0.012761288,
huge write        average:,0.012928847,
 huge read          kbest:,0.018988576,
 huge read        average:,0.019573677,
 huge mmap          kbest:,0.000000418,
 huge mmap        average:,0.000000454,
huge munmap          kbest:,0.001630094,
huge munmap        average:,0.001654757,
huge page fault          kbest:,0.000001675,
huge page fault        average:,0.000001748,
    select          kbest:,0.000000619,
    select        average:,0.000000714,
      poll          kbest:,0.000000581,
      poll        average:,0.000000701,
     epoll          kbest:,0.000000774,
     epoll        average:,0.000000907,
select big          kbest:,0.000055572,
select big        average:,0.000065041,
  poll big          kbest:,0.000069981,
  poll big        average:,0.000080671,
 epoll big          kbest:,0.000093042,
 epoll big        average:,0.000108337,
