OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003108725,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000331,
      send        average:,0.000001153,
      recv          kbest:,0.000000485,
      recv        average:,0.000001528,
  big send          kbest:,0.000009410,
  big send        average:,0.000015808,
  big recv          kbest:,0.000015218,
  big recv        average:,0.000027322,
context siwtch          kbest:,0.000002887,
context siwtch        average:,0.000003719,
      fork          kbest:,0.000082791,
      fork       average:,0.000198480,
      fork    Child kbest:,0.000112704,
      fork Child average:,0.000297516,
thr create          kbest:,0.000008016,
thr create       average:,0.000019813,
thr create    Child kbest:,0.000010745,
thr create Child average:,0.000031515,
  big fork          kbest:,0.001599861,
  big fork       average:,0.002126899,
  big fork    Child kbest:,0.001640145,
  big fork Child average:,0.002330044,
 huge fork          kbest:,0.003547779,
 huge fork       average:,0.004796010,
 huge fork    Child kbest:,0.003609133,
 huge fork Child average:,0.004986878,
small write          kbest:,0.000000810,
small write        average:,0.000000938,
small read          kbest:,0.000000320,
small read        average:,0.000000347,
small mmap          kbest:,0.000000402,
small mmap        average:,0.000000434,
small munmap          kbest:,0.000000751,
small munmap        average:,0.000000814,
small page fault          kbest:,0.000000623,
small page fault        average:,0.000000678,
 mid write          kbest:,0.000007044,
 mid write        average:,0.000007402,
  mid read          kbest:,0.000002779,
  mid read        average:,0.000002946,
  mid mmap          kbest:,0.000000384,
  mid mmap        average:,0.000000425,
mid munmap          kbest:,0.000003014,
mid munmap        average:,0.000003119,
mid page fault          kbest:,0.000001144,
mid page fault        average:,0.000001203,
 big write          kbest:,0.000797194,
 big write        average:,0.000826360,
  big read          kbest:,0.000372778,
  big read        average:,0.000389653,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000443,
big munmap          kbest:,0.000129802,
big munmap        average:,0.000133160,
big page fault          kbest:,0.000001679,
big page fault        average:,0.000001747,
huge write          kbest:,0.012864504,
huge write        average:,0.012992876,
 huge read          kbest:,0.019021270,
 huge read        average:,0.019503438,
 huge mmap          kbest:,0.000000417,
 huge mmap        average:,0.000000472,
huge munmap          kbest:,0.001614851,
huge munmap        average:,0.001639908,
huge page fault          kbest:,0.000001841,
huge page fault        average:,0.000001915,
    select          kbest:,0.000000620,
    select        average:,0.000000702,
      poll          kbest:,0.000000562,
      poll        average:,0.000000647,
     epoll          kbest:,0.000000803,
     epoll        average:,0.000000934,
select big          kbest:,0.000056473,
select big        average:,0.000064943,
  poll big          kbest:,0.000069201,
  poll big        average:,0.000077011,
 epoll big          kbest:,0.000092524,
 epoll big        average:,0.000108169,
