OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003101285,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000080,
      send          kbest:,0.000000352,
      send        average:,0.000001207,
      recv          kbest:,0.000000479,
      recv        average:,0.000001460,
  big send          kbest:,0.000010017,
  big send        average:,0.000016908,
  big recv          kbest:,0.000016521,
  big recv        average:,0.000028529,
context siwtch          kbest:,0.000002875,
context siwtch        average:,0.000003722,
      fork          kbest:,0.000091114,
      fork       average:,0.000206650,
      fork    Child kbest:,0.000118195,
      fork Child average:,0.000306627,
thr create          kbest:,0.000008056,
thr create       average:,0.000020768,
thr create    Child kbest:,0.000011144,
thr create Child average:,0.000032366,
  big fork          kbest:,0.001784280,
  big fork       average:,0.002310501,
  big fork    Child kbest:,0.001706946,
  big fork Child average:,0.002504511,
 huge fork          kbest:,0.003703718,
 huge fork       average:,0.004990869,
 huge fork    Child kbest:,0.003809145,
 huge fork Child average:,0.005172379,
small write          kbest:,0.000000812,
small write        average:,0.000000983,
small read          kbest:,0.000000316,
small read        average:,0.000000352,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000458,
small munmap          kbest:,0.000000903,
small munmap        average:,0.000000956,
small page fault          kbest:,0.000000650,
small page fault        average:,0.000000679,
 mid write          kbest:,0.000007118,
 mid write        average:,0.000007484,
  mid read          kbest:,0.000002782,
  mid read        average:,0.000002998,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000443,
mid munmap          kbest:,0.000003443,
mid munmap        average:,0.000003603,
mid page fault          kbest:,0.000000646,
mid page fault        average:,0.000000675,
 big write          kbest:,0.000792581,
 big write        average:,0.000817496,
  big read          kbest:,0.000362938,
  big read        average:,0.000376828,
  big mmap          kbest:,0.000000408,
  big mmap        average:,0.000000437,
big munmap          kbest:,0.000139636,
big munmap        average:,0.000144640,
big page fault          kbest:,0.000000862,
big page fault        average:,0.000000899,
huge write          kbest:,0.012609981,
huge write        average:,0.012921622,
 huge read          kbest:,0.019083656,
 huge read        average:,0.019657001,
 huge mmap          kbest:,0.000000400,
 huge mmap        average:,0.000000428,
huge munmap          kbest:,0.001514857,
huge munmap        average:,0.001534379,
huge page fault          kbest:,0.000000860,
huge page fault        average:,0.000000907,
    select          kbest:,0.000000623,
    select        average:,0.000000697,
      poll          kbest:,0.000000554,
      poll        average:,0.000000626,
     epoll          kbest:,0.000000783,
     epoll        average:,0.000000917,
select big          kbest:,0.000051111,
select big        average:,0.000058222,
  poll big          kbest:,0.000064355,
  poll big        average:,0.000072532,
 epoll big          kbest:,0.000089056,
 epoll big        average:,0.000101638,
