OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003109816,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000353,
      send        average:,0.000001234,
      recv          kbest:,0.000000481,
      recv        average:,0.000001418,
  big send          kbest:,0.000010796,
  big send        average:,0.000016558,
  big recv          kbest:,0.000016160,
  big recv        average:,0.000029092,
context siwtch          kbest:,0.000002880,
context siwtch        average:,0.000003703,
      fork          kbest:,0.000085445,
      fork       average:,0.000204383,
      fork    Child kbest:,0.000117754,
      fork Child average:,0.000303014,
thr create          kbest:,0.000008156,
thr create       average:,0.000021271,
thr create    Child kbest:,0.000010713,
thr create Child average:,0.000032717,
  big fork          kbest:,0.001834305,
  big fork       average:,0.002340026,
  big fork    Child kbest:,0.001919202,
  big fork Child average:,0.002529946,
 huge fork          kbest:,0.003712578,
 huge fork       average:,0.005024353,
 huge fork    Child kbest:,0.003856216,
 huge fork Child average:,0.005202185,
small write          kbest:,0.000000806,
small write        average:,0.000000907,
small read          kbest:,0.000000315,
small read        average:,0.000000353,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000464,
small munmap          kbest:,0.000000871,
small munmap        average:,0.000000919,
small page fault          kbest:,0.000000649,
small page fault        average:,0.000000690,
 mid write          kbest:,0.000007114,
 mid write        average:,0.000007467,
  mid read          kbest:,0.000002780,
  mid read        average:,0.000002986,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000442,
mid munmap          kbest:,0.000003394,
mid munmap        average:,0.000003572,
mid page fault          kbest:,0.000000645,
mid page fault        average:,0.000000662,
 big write          kbest:,0.000793803,
 big write        average:,0.000818858,
  big read          kbest:,0.000366569,
  big read        average:,0.000376877,
  big mmap          kbest:,0.000000435,
  big mmap        average:,0.000000469,
big munmap          kbest:,0.000139330,
big munmap        average:,0.000143091,
big page fault          kbest:,0.000000916,
big page fault        average:,0.000000970,
huge write          kbest:,0.012636061,
huge write        average:,0.012900973,
 huge read          kbest:,0.019133475,
 huge read        average:,0.019546147,
 huge mmap          kbest:,0.000000425,
 huge mmap        average:,0.000000455,
huge munmap          kbest:,0.001502778,
huge munmap        average:,0.001522773,
huge page fault          kbest:,0.000000915,
huge page fault        average:,0.000000967,
    select          kbest:,0.000000641,
    select        average:,0.000000733,
      poll          kbest:,0.000000563,
      poll        average:,0.000000677,
     epoll          kbest:,0.000000773,
     epoll        average:,0.000000870,
select big          kbest:,0.000051600,
select big        average:,0.000058668,
  poll big          kbest:,0.000064358,
  poll big        average:,0.000073064,
 epoll big          kbest:,0.000088885,
 epoll big        average:,0.000103147,
