OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084583,
       cpu        average:,0.003113029,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000083,
      send          kbest:,0.000000326,
      send        average:,0.000001139,
      recv          kbest:,0.000000479,
      recv        average:,0.000001508,
  big send          kbest:,0.000009452,
  big send        average:,0.000015053,
  big recv          kbest:,0.000015072,
  big recv        average:,0.000028634,
context siwtch          kbest:,0.000002887,
context siwtch        average:,0.000003721,
      fork          kbest:,0.000082010,
      fork       average:,0.000200737,
      fork    Child kbest:,0.000121349,
      fork Child average:,0.000299474,
thr create          kbest:,0.000007908,
thr create       average:,0.000019301,
thr create    Child kbest:,0.000010842,
thr create Child average:,0.000031404,
  big fork          kbest:,0.001654661,
  big fork       average:,0.002158209,
  big fork    Child kbest:,0.001712433,
  big fork Child average:,0.002362630,
 huge fork          kbest:,0.003564202,
 huge fork       average:,0.004790206,
 huge fork    Child kbest:,0.003659043,
 huge fork Child average:,0.004981263,
small write          kbest:,0.000000802,
small write        average:,0.000000962,
small read          kbest:,0.000000320,
small read        average:,0.000000348,
small mmap          kbest:,0.000000399,
small mmap        average:,0.000000444,
small munmap          kbest:,0.000000744,
small munmap        average:,0.000000803,
small page fault          kbest:,0.000000628,
small page fault        average:,0.000000668,
 mid write          kbest:,0.000007037,
 mid write        average:,0.000007370,
  mid read          kbest:,0.000002779,
  mid read        average:,0.000002942,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000402,
mid munmap          kbest:,0.000003028,
mid munmap        average:,0.000003160,
mid page fault          kbest:,0.000000683,
mid page fault        average:,0.000000735,
 big write          kbest:,0.000795757,
 big write        average:,0.000818787,
  big read          kbest:,0.000372518,
  big read        average:,0.000386907,
  big mmap          kbest:,0.000000408,
  big mmap        average:,0.000000459,
big munmap          kbest:,0.000131939,
big munmap        average:,0.000135661,
big page fault          kbest:,0.000000930,
big page fault        average:,0.000000977,
huge write          kbest:,0.012806445,
huge write        average:,0.012930771,
 huge read          kbest:,0.019021714,
 huge read        average:,0.019561936,
 huge mmap          kbest:,0.000000414,
 huge mmap        average:,0.000000435,
huge munmap          kbest:,0.001617565,
huge munmap        average:,0.001644721,
huge page fault          kbest:,0.000001701,
huge page fault        average:,0.000001757,
    select          kbest:,0.000000623,
    select        average:,0.000000745,
      poll          kbest:,0.000000570,
      poll        average:,0.000000671,
     epoll          kbest:,0.000000789,
     epoll        average:,0.000000916,
select big          kbest:,0.000057071,
select big        average:,0.000064761,
  poll big          kbest:,0.000070196,
  poll big        average:,0.000079241,
 epoll big          kbest:,0.000092352,
 epoll big        average:,0.000108581,
