OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003122466,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000352,
      send        average:,0.000001119,
      recv          kbest:,0.000000481,
      recv        average:,0.000001403,
  big send          kbest:,0.000010146,
  big send        average:,0.000016830,
  big recv          kbest:,0.000016323,
  big recv        average:,0.000029015,
context siwtch          kbest:,0.000002897,
context siwtch        average:,0.000003712,
      fork          kbest:,0.000085474,
      fork       average:,0.000203369,
      fork    Child kbest:,0.000129382,
      fork Child average:,0.000308073,
thr create          kbest:,0.000008550,
thr create       average:,0.000021279,
thr create    Child kbest:,0.000010828,
thr create Child average:,0.000032712,
  big fork          kbest:,0.001779565,
  big fork       average:,0.002325384,
  big fork    Child kbest:,0.001789767,
  big fork Child average:,0.002521505,
 huge fork          kbest:,0.003489002,
 huge fork       average:,0.004963186,
 huge fork    Child kbest:,0.003584057,
 huge fork Child average:,0.005156286,
small write          kbest:,0.000000806,
small write        average:,0.000000947,
small read          kbest:,0.000000318,
small read        average:,0.000000350,
small mmap          kbest:,0.000000419,
small mmap        average:,0.000000464,
small munmap          kbest:,0.000000859,
small munmap        average:,0.000000911,
small page fault          kbest:,0.000000621,
small page fault        average:,0.000000649,
 mid write          kbest:,0.000007155,
 mid write        average:,0.000007493,
  mid read          kbest:,0.000002760,
  mid read        average:,0.000002979,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000447,
mid munmap          kbest:,0.000003349,
mid munmap        average:,0.000003529,
mid page fault          kbest:,0.000001173,
mid page fault        average:,0.000001260,
 big write          kbest:,0.000816538,
 big write        average:,0.000845419,
  big read          kbest:,0.000378464,
  big read        average:,0.000397675,
  big mmap          kbest:,0.000000430,
  big mmap        average:,0.000000465,
big munmap          kbest:,0.000139989,
big munmap        average:,0.000142434,
big page fault          kbest:,0.000001763,
big page fault        average:,0.000001839,
huge write          kbest:,0.012835491,
huge write        average:,0.013038019,
 huge read          kbest:,0.019209097,
 huge read        average:,0.019735635,
 huge mmap          kbest:,0.000000436,
 huge mmap        average:,0.000000463,
huge munmap          kbest:,0.001609078,
huge munmap        average:,0.001633127,
huge page fault          kbest:,0.000001758,
huge page fault        average:,0.000001846,
    select          kbest:,0.000000617,
    select        average:,0.000000687,
      poll          kbest:,0.000000554,
      poll        average:,0.000000629,
     epoll          kbest:,0.000000794,
     epoll        average:,0.000000887,
select big          kbest:,0.000050987,
select big        average:,0.000058537,
  poll big          kbest:,0.000064871,
  poll big        average:,0.000073163,
 epoll big          kbest:,0.000088592,
 epoll big        average:,0.000102179,
