OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084597,
       cpu        average:,0.003922447,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000539,
      send          kbest:,0.000000894,
      send        average:,0.000001964,
      recv          kbest:,0.000001187,
      recv        average:,0.000002117,
  big send          kbest:,0.000010937,
  big send        average:,0.000013375,
  big recv          kbest:,0.000020632,
  big recv        average:,0.000031963,
context siwtch          kbest:,0.000005488,
context siwtch        average:,0.000007018,
      fork          kbest:,0.000100148,
      fork       average:,0.000190327,
      fork    Child kbest:,0.000151503,
      fork Child average:,0.000320147,
thr create          kbest:,0.000012342,
thr create       average:,0.000026045,
thr create    Child kbest:,0.000016350,
thr create Child average:,0.000039782,
  big fork          kbest:,0.001915735,
  big fork       average:,0.002663563,
  big fork    Child kbest:,0.002071698,
  big fork Child average:,0.002830368,
 huge fork          kbest:,0.004669946,
 huge fork       average:,0.005918709,
 huge fork    Child kbest:,0.004830059,
 huge fork Child average:,0.006072207,
small write          kbest:,0.000001506,
small write        average:,0.000001794,
small read          kbest:,0.000000836,
small read        average:,0.000000871,
small mmap          kbest:,0.000000974,
small mmap        average:,0.000001031,
small munmap          kbest:,0.000001548,
small munmap        average:,0.000001592,
small page fault          kbest:,0.000001101,
small page fault        average:,0.000001145,
 mid write          kbest:,0.000007935,
 mid write        average:,0.000008176,
  mid read          kbest:,0.000003357,
  mid read        average:,0.000003549,
  mid mmap          kbest:,0.000000959,
  mid mmap        average:,0.000001000,
mid munmap          kbest:,0.000005334,
mid munmap        average:,0.000005543,
mid page fault          kbest:,0.000001696,
mid page fault        average:,0.000001750,
 big write          kbest:,0.000808919,
 big write        average:,0.000828900,
  big read          kbest:,0.000370805,
  big read        average:,0.000379037,
  big mmap          kbest:,0.000000984,
  big mmap        average:,0.000001022,
big munmap          kbest:,0.000134627,
big munmap        average:,0.000139675,
big page fault          kbest:,0.000002375,
big page fault        average:,0.000002689,
huge write          kbest:,0.013129662,
huge write        average:,0.013328522,
 huge read          kbest:,0.019574719,
 huge read        average:,0.019817238,
 huge mmap          kbest:,0.000000966,
 huge mmap        average:,0.000001019,
huge munmap          kbest:,0.001525768,
huge munmap        average:,0.001555298,
huge page fault          kbest:,0.000002370,
huge page fault        average:,0.000002664,
    select          kbest:,0.000001581,
    select        average:,0.000001688,
      poll          kbest:,0.000001568,
      poll        average:,0.000001725,
     epoll          kbest:,0.000001699,
     epoll        average:,0.000001936,
select big          kbest:,0.000115632,
select big        average:,0.000128083,
  poll big          kbest:,0.000129329,
  poll big        average:,0.000141035,
 epoll big          kbest:,0.000149188,
 epoll big        average:,0.000168441,
