OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003110348,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000082,
      send          kbest:,0.000000355,
      send        average:,0.000001177,
      recv          kbest:,0.000000481,
      recv        average:,0.000001473,
  big send          kbest:,0.000010112,
  big send        average:,0.000016846,
  big recv          kbest:,0.000016390,
  big recv        average:,0.000028929,
context siwtch          kbest:,0.000002886,
context siwtch        average:,0.000003727,
      fork          kbest:,0.000085790,
      fork       average:,0.000201965,
      fork    Child kbest:,0.000126672,
      fork Child average:,0.000305437,
thr create          kbest:,0.000008241,
thr create       average:,0.000021088,
thr create    Child kbest:,0.000011644,
thr create Child average:,0.000032388,
  big fork          kbest:,0.001734737,
  big fork       average:,0.002294418,
  big fork    Child kbest:,0.001733875,
  big fork Child average:,0.002484521,
 huge fork          kbest:,0.003471932,
 huge fork       average:,0.004942690,
 huge fork    Child kbest:,0.003609721,
 huge fork Child average:,0.005132078,
small write          kbest:,0.000000802,
small write        average:,0.000000945,
small read          kbest:,0.000000313,
small read        average:,0.000000335,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000461,
small munmap          kbest:,0.000000862,
small munmap        average:,0.000000904,
small page fault          kbest:,0.000000629,
small page fault        average:,0.000000670,
 mid write          kbest:,0.000007140,
 mid write        average:,0.000007505,
  mid read          kbest:,0.000002762,
  mid read        average:,0.000002931,
  mid mmap          kbest:,0.000000405,
  mid mmap        average:,0.000000426,
mid munmap          kbest:,0.000003384,
mid munmap        average:,0.000003541,
mid page fault          kbest:,0.000001171,
mid page fault        average:,0.000001221,
 big write          kbest:,0.000812072,
 big write        average:,0.000838156,
  big read          kbest:,0.000375961,
  big read        average:,0.000388504,
  big mmap          kbest:,0.000000428,
  big mmap        average:,0.000000455,
big munmap          kbest:,0.000139930,
big munmap        average:,0.000143847,
big page fault          kbest:,0.000001753,
big page fault        average:,0.000001872,
huge write          kbest:,0.012706909,
huge write        average:,0.012928344,
 huge read          kbest:,0.019247564,
 huge read        average:,0.019841354,
 huge mmap          kbest:,0.000000438,
 huge mmap        average:,0.000000491,
huge munmap          kbest:,0.001617475,
huge munmap        average:,0.001638981,
huge page fault          kbest:,0.000001764,
huge page fault        average:,0.000001845,
    select          kbest:,0.000000617,
    select        average:,0.000000698,
      poll          kbest:,0.000000558,
      poll        average:,0.000000642,
     epoll          kbest:,0.000000773,
     epoll        average:,0.000000916,
select big          kbest:,0.000051339,
select big        average:,0.000059204,
  poll big          kbest:,0.000064989,
  poll big        average:,0.000073322,
 epoll big          kbest:,0.000088137,
 epoll big        average:,0.000103095,
