OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000030,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003112431,
    getpid          kbest:,0.000000529,
    getpid        average:,0.000000541,
      send          kbest:,0.000000897,
      send        average:,0.000001961,
      recv          kbest:,0.000001319,
      recv        average:,0.000002133,
  big send          kbest:,0.000010745,
  big send        average:,0.000013157,
  big recv          kbest:,0.000019912,
  big recv        average:,0.000031715,
context siwtch          kbest:,0.000005490,
context siwtch        average:,0.000007063,
      fork          kbest:,0.000087815,
      fork       average:,0.000190525,
      fork    Child kbest:,0.000159629,
      fork Child average:,0.000319805,
thr create          kbest:,0.000011593,
thr create       average:,0.000026117,
thr create    Child kbest:,0.000015504,
thr create Child average:,0.000040058,
  big fork          kbest:,0.001880762,
  big fork       average:,0.002634906,
  big fork    Child kbest:,0.001901245,
  big fork Child average:,0.002791559,
 huge fork          kbest:,0.004619775,
 huge fork       average:,0.005921922,
 huge fork    Child kbest:,0.004741071,
 huge fork Child average:,0.006066979,
small write          kbest:,0.000001496,
small write        average:,0.000001774,
small read          kbest:,0.000000833,
small read        average:,0.000000880,
small mmap          kbest:,0.000000974,
small mmap        average:,0.000001036,
small munmap          kbest:,0.000001551,
small munmap        average:,0.000001685,
small page fault          kbest:,0.000001097,
small page fault        average:,0.000001127,
 mid write          kbest:,0.000007996,
 mid write        average:,0.000008286,
  mid read          kbest:,0.000003382,
  mid read        average:,0.000003562,
  mid mmap          kbest:,0.000000962,
  mid mmap        average:,0.000001003,
mid munmap          kbest:,0.000005350,
mid munmap        average:,0.000005505,
mid page fault          kbest:,0.000001687,
mid page fault        average:,0.000001742,
 big write          kbest:,0.000806358,
 big write        average:,0.000824715,
  big read          kbest:,0.000372211,
  big read        average:,0.000379934,
  big mmap          kbest:,0.000000988,
  big mmap        average:,0.000001045,
big munmap          kbest:,0.000133506,
big munmap        average:,0.000137155,
big page fault          kbest:,0.000002385,
big page fault        average:,0.000002720,
huge write          kbest:,0.013086027,
huge write        average:,0.013382682,
 huge read          kbest:,0.019545294,
 huge read        average:,0.019797768,
 huge mmap          kbest:,0.000000964,
 huge mmap        average:,0.000001020,
huge munmap          kbest:,0.001536680,
huge munmap        average:,0.001569877,
huge page fault          kbest:,0.000002386,
huge page fault        average:,0.000002757,
    select          kbest:,0.000001569,
    select        average:,0.000001712,
      poll          kbest:,0.000001534,
      poll        average:,0.000001639,
     epoll          kbest:,0.000001715,
     epoll        average:,0.000001912,
select big          kbest:,0.000115458,
select big        average:,0.000127704,
  poll big          kbest:,0.000126041,
  poll big        average:,0.000138228,
 epoll big          kbest:,0.000148690,
 epoll big        average:,0.000168414,
