OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084593,
       cpu        average:,0.003110875,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
      send          kbest:,0.000000359,
      send        average:,0.000001309,
      recv          kbest:,0.000000479,
      recv        average:,0.000001455,
  big send          kbest:,0.000010272,
  big send        average:,0.000016658,
  big recv          kbest:,0.000016150,
  big recv        average:,0.000028636,
context siwtch          kbest:,0.000002899,
context siwtch        average:,0.000003720,
      fork          kbest:,0.000083762,
      fork       average:,0.000201500,
      fork    Child kbest:,0.000127797,
      fork Child average:,0.000306147,
thr create          kbest:,0.000008274,
thr create       average:,0.000020611,
thr create    Child kbest:,0.000011520,
thr create Child average:,0.000032198,
  big fork          kbest:,0.001732447,
  big fork       average:,0.002310742,
  big fork    Child kbest:,0.001695169,
  big fork Child average:,0.002508273,
 huge fork          kbest:,0.003560665,
 huge fork       average:,0.004941377,
 huge fork    Child kbest:,0.003703450,
 huge fork Child average:,0.005134143,
small write          kbest:,0.000000812,
small write        average:,0.000000965,
small read          kbest:,0.000000314,
small read        average:,0.000000334,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000461,
small munmap          kbest:,0.000000863,
small munmap        average:,0.000000925,
small page fault          kbest:,0.000000632,
small page fault        average:,0.000000673,
 mid write          kbest:,0.000007115,
 mid write        average:,0.000007441,
  mid read          kbest:,0.000002762,
  mid read        average:,0.000002943,
  mid mmap          kbest:,0.000000403,
  mid mmap        average:,0.000000429,
mid munmap          kbest:,0.000003352,
mid munmap        average:,0.000003499,
mid page fault          kbest:,0.000001171,
mid page fault        average:,0.000001240,
 big write          kbest:,0.000815364,
 big write        average:,0.000844797,
  big read          kbest:,0.000382479,
  big read        average:,0.000394827,
  big mmap          kbest:,0.000000430,
  big mmap        average:,0.000000464,
big munmap          kbest:,0.000140097,
big munmap        average:,0.000144808,
big page fault          kbest:,0.000001780,
big page fault        average:,0.000001876,
huge write          kbest:,0.012850968,
huge write        average:,0.013015433,
 huge read          kbest:,0.019357005,
 huge read        average:,0.019833075,
 huge mmap          kbest:,0.000000434,
 huge mmap        average:,0.000000473,
huge munmap          kbest:,0.001600119,
huge munmap        average:,0.001624851,
huge page fault          kbest:,0.000001768,
huge page fault        average:,0.000001868,
    select          kbest:,0.000000627,
    select        average:,0.000000703,
      poll          kbest:,0.000000557,
      poll        average:,0.000000654,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000921,
select big          kbest:,0.000051221,
select big        average:,0.000058997,
  poll big          kbest:,0.000064706,
  poll big        average:,0.000072379,
 epoll big          kbest:,0.000088881,
 epoll big        average:,0.000103863,
