OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003105285,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000080,
      send          kbest:,0.000000327,
      send        average:,0.000001113,
      recv          kbest:,0.000000479,
      recv        average:,0.000001523,
  big send          kbest:,0.000009588,
  big send        average:,0.000015616,
  big recv          kbest:,0.000014932,
  big recv        average:,0.000026806,
context siwtch          kbest:,0.000002898,
context siwtch        average:,0.000003723,
      fork          kbest:,0.000081676,
      fork       average:,0.000199292,
      fork    Child kbest:,0.000123029,
      fork Child average:,0.000298670,
thr create          kbest:,0.000007994,
thr create       average:,0.000019632,
thr create    Child kbest:,0.000010626,
thr create Child average:,0.000031779,
  big fork          kbest:,0.001614811,
  big fork       average:,0.002139286,
  big fork    Child kbest:,0.001656112,
  big fork Child average:,0.002333778,
 huge fork          kbest:,0.003490414,
 huge fork       average:,0.004792253,
 huge fork    Child kbest:,0.003623750,
 huge fork Child average:,0.004977949,
small write          kbest:,0.000000807,
small write        average:,0.000000950,
small read          kbest:,0.000000321,
small read        average:,0.000000342,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000429,
small munmap          kbest:,0.000000745,
small munmap        average:,0.000000799,
small page fault          kbest:,0.000000629,
small page fault        average:,0.000000684,
 mid write          kbest:,0.000007093,
 mid write        average:,0.000007437,
  mid read          kbest:,0.000002798,
  mid read        average:,0.000002960,
  mid mmap          kbest:,0.000000385,
  mid mmap        average:,0.000000413,
mid munmap          kbest:,0.000003013,
mid munmap        average:,0.000003140,
mid page fault          kbest:,0.000001148,
mid page fault        average:,0.000001197,
 big write          kbest:,0.000799796,
 big write        average:,0.000825972,
  big read          kbest:,0.000374518,
  big read        average:,0.000389392,
  big mmap          kbest:,0.000000424,
  big mmap        average:,0.000000450,
big munmap          kbest:,0.000131348,
big munmap        average:,0.000134979,
big page fault          kbest:,0.000001671,
big page fault        average:,0.000001765,
huge write          kbest:,0.012809967,
huge write        average:,0.012935519,
 huge read          kbest:,0.019052664,
 huge read        average:,0.019588061,
 huge mmap          kbest:,0.000000416,
 huge mmap        average:,0.000000455,
huge munmap          kbest:,0.001613289,
huge munmap        average:,0.001639249,
huge page fault          kbest:,0.000001672,
huge page fault        average:,0.000001735,
    select          kbest:,0.000000619,
    select        average:,0.000000707,
      poll          kbest:,0.000000556,
      poll        average:,0.000000657,
     epoll          kbest:,0.000000779,
     epoll        average:,0.000000869,
select big          kbest:,0.000056323,
select big        average:,0.000064062,
  poll big          kbest:,0.000069811,
  poll big        average:,0.000079890,
 epoll big          kbest:,0.000093426,
 epoll big        average:,0.000109377,
