OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003100352,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000325,
      send        average:,0.000001050,
      recv          kbest:,0.000000483,
      recv        average:,0.000001588,
  big send          kbest:,0.000009568,
  big send        average:,0.000015375,
  big recv          kbest:,0.000015108,
  big recv        average:,0.000027399,
context siwtch          kbest:,0.000002877,
context siwtch        average:,0.000003702,
      fork          kbest:,0.000079752,
      fork       average:,0.000197218,
      fork    Child kbest:,0.000117255,
      fork Child average:,0.000295183,
thr create          kbest:,0.000008187,
thr create       average:,0.000019926,
thr create    Child kbest:,0.000011621,
thr create Child average:,0.000031562,
  big fork          kbest:,0.001306846,
  big fork       average:,0.002110720,
  big fork    Child kbest:,0.001404978,
  big fork Child average:,0.002306714,
 huge fork          kbest:,0.003507886,
 huge fork       average:,0.004720187,
 huge fork    Child kbest:,0.003586547,
 huge fork Child average:,0.004917868,
small write          kbest:,0.000000811,
small write        average:,0.000000912,
small read          kbest:,0.000000320,
small read        average:,0.000000356,
small mmap          kbest:,0.000000400,
small mmap        average:,0.000000441,
small munmap          kbest:,0.000000747,
small munmap        average:,0.000000804,
small page fault          kbest:,0.000000624,
small page fault        average:,0.000000670,
 mid write          kbest:,0.000007061,
 mid write        average:,0.000007419,
  mid read          kbest:,0.000002789,
  mid read        average:,0.000002987,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000402,
mid munmap          kbest:,0.000003014,
mid munmap        average:,0.000003123,
mid page fault          kbest:,0.000001144,
mid page fault        average:,0.000001204,
 big write          kbest:,0.000797996,
 big write        average:,0.000825165,
  big read          kbest:,0.000373896,
  big read        average:,0.000389268,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000436,
big munmap          kbest:,0.000130565,
big munmap        average:,0.000135949,
big page fault          kbest:,0.000001671,
big page fault        average:,0.000001755,
huge write          kbest:,0.012726614,
huge write        average:,0.012916000,
 huge read          kbest:,0.019032276,
 huge read        average:,0.019422631,
 huge mmap          kbest:,0.000000415,
 huge mmap        average:,0.000000456,
huge munmap          kbest:,0.001638002,
huge munmap        average:,0.001661845,
huge page fault          kbest:,0.000001679,
huge page fault        average:,0.000001740,
    select          kbest:,0.000000623,
    select        average:,0.000000736,
      poll          kbest:,0.000000569,
      poll        average:,0.000000709,
     epoll          kbest:,0.000000799,
     epoll        average:,0.000000928,
select big          kbest:,0.000055615,
select big        average:,0.000062729,
  poll big          kbest:,0.000068967,
  poll big        average:,0.000077724,
 epoll big          kbest:,0.000093990,
 epoll big        average:,0.000108844,
