OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084593,
       cpu        average:,0.003116840,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
      send          kbest:,0.000000355,
      send        average:,0.000001191,
      recv          kbest:,0.000000479,
      recv        average:,0.000001472,
  big send          kbest:,0.000011375,
  big send        average:,0.000016728,
  big recv          kbest:,0.000016318,
  big recv        average:,0.000029858,
context siwtch          kbest:,0.000002887,
context siwtch        average:,0.000003718,
      fork          kbest:,0.000089323,
      fork       average:,0.000202035,
      fork    Child kbest:,0.000123886,
      fork Child average:,0.000305558,
thr create          kbest:,0.000007638,
thr create       average:,0.000021361,
thr create    Child kbest:,0.000010472,
thr create Child average:,0.000032681,
  big fork          kbest:,0.001718863,
  big fork       average:,0.002306992,
  big fork    Child kbest:,0.001796562,
  big fork Child average:,0.002511862,
 huge fork          kbest:,0.003546255,
 huge fork       average:,0.004974658,
 huge fork    Child kbest:,0.003687783,
 huge fork Child average:,0.005177997,
small write          kbest:,0.000000819,
small write        average:,0.000000997,
small read          kbest:,0.000000322,
small read        average:,0.000000352,
small mmap          kbest:,0.000000429,
small mmap        average:,0.000000457,
small munmap          kbest:,0.000000860,
small munmap        average:,0.000000925,
small page fault          kbest:,0.000000639,
small page fault        average:,0.000000694,
 mid write          kbest:,0.000007205,
 mid write        average:,0.000007599,
  mid read          kbest:,0.000002775,
  mid read        average:,0.000003000,
  mid mmap          kbest:,0.000000411,
  mid mmap        average:,0.000000462,
mid munmap          kbest:,0.000003381,
mid munmap        average:,0.000003555,
mid page fault          kbest:,0.000001191,
mid page fault        average:,0.000001243,
 big write          kbest:,0.000827894,
 big write        average:,0.000852665,
  big read          kbest:,0.000391369,
  big read        average:,0.000405791,
  big mmap          kbest:,0.000000414,
  big mmap        average:,0.000000447,
big munmap          kbest:,0.000140280,
big munmap        average:,0.000144264,
big page fault          kbest:,0.000001777,
big page fault        average:,0.000001856,
huge write          kbest:,0.012816993,
huge write        average:,0.013006108,
 huge read          kbest:,0.019257594,
 huge read        average:,0.019742694,
 huge mmap          kbest:,0.000000408,
 huge mmap        average:,0.000000454,
huge munmap          kbest:,0.001590855,
huge munmap        average:,0.001616920,
huge page fault          kbest:,0.000001470,
huge page fault        average:,0.000001538,
    select          kbest:,0.000000621,
    select        average:,0.000000702,
      poll          kbest:,0.000000553,
      poll        average:,0.000000632,
     epoll          kbest:,0.000000782,
     epoll        average:,0.000000902,
select big          kbest:,0.000051879,
select big        average:,0.000059107,
  poll big          kbest:,0.000065303,
  poll big        average:,0.000073053,
 epoll big          kbest:,0.000088406,
 epoll big        average:,0.000102526,
