OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003098752,
    getpid          kbest:,0.000000081,
    getpid        average:,0.000000084,
      send          kbest:,0.000000352,
      send        average:,0.000001247,
      recv          kbest:,0.000000479,
      recv        average:,0.000001528,
  big send          kbest:,0.000010302,
  big send        average:,0.000016512,
  big recv          kbest:,0.000016396,
  big recv        average:,0.000028956,
context siwtch          kbest:,0.000002901,
context siwtch        average:,0.000003723,
      fork          kbest:,0.000082162,
      fork       average:,0.000199786,
      fork    Child kbest:,0.000120212,
      fork Child average:,0.000302939,
thr create          kbest:,0.000008077,
thr create       average:,0.000020859,
thr create    Child kbest:,0.000011760,
thr create Child average:,0.000032262,
  big fork          kbest:,0.001750040,
  big fork       average:,0.002336091,
  big fork    Child kbest:,0.001828876,
  big fork Child average:,0.002539200,
 huge fork          kbest:,0.003445076,
 huge fork       average:,0.004956455,
 huge fork    Child kbest:,0.003556254,
 huge fork Child average:,0.005153769,
small write          kbest:,0.000000821,
small write        average:,0.000000955,
small read          kbest:,0.000000315,
small read        average:,0.000000366,
small mmap          kbest:,0.000000425,
small mmap        average:,0.000000476,
small munmap          kbest:,0.000000866,
small munmap        average:,0.000000914,
small page fault          kbest:,0.000000626,
small page fault        average:,0.000000657,
 mid write          kbest:,0.000007130,
 mid write        average:,0.000007479,
  mid read          kbest:,0.000002776,
  mid read        average:,0.000003045,
  mid mmap          kbest:,0.000000409,
  mid mmap        average:,0.000000469,
mid munmap          kbest:,0.000003369,
mid munmap        average:,0.000003503,
mid page fault          kbest:,0.000001181,
mid page fault        average:,0.000001247,
 big write          kbest:,0.000811826,
 big write        average:,0.000836995,
  big read          kbest:,0.000378713,
  big read        average:,0.000394419,
  big mmap          kbest:,0.000000436,
  big mmap        average:,0.000000481,
big munmap          kbest:,0.000140404,
big munmap        average:,0.000146567,
big page fault          kbest:,0.000001771,
big page fault        average:,0.000001912,
huge write          kbest:,0.012749776,
huge write        average:,0.012906735,
 huge read          kbest:,0.019158898,
 huge read        average:,0.019735238,
 huge mmap          kbest:,0.000000439,
 huge mmap        average:,0.000000487,
huge munmap          kbest:,0.001590593,
huge munmap        average:,0.001619864,
huge page fault          kbest:,0.000001760,
huge page fault        average:,0.000001846,
    select          kbest:,0.000000620,
    select        average:,0.000000695,
      poll          kbest:,0.000000561,
      poll        average:,0.000000673,
     epoll          kbest:,0.000000790,
     epoll        average:,0.000000958,
select big          kbest:,0.000051242,
select big        average:,0.000059099,
  poll big          kbest:,0.000064698,
  poll big        average:,0.000073239,
 epoll big          kbest:,0.000088414,
 epoll big        average:,0.000103193,
