OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084590,
       cpu        average:,0.003103690,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000079,
      send          kbest:,0.000000359,
      send        average:,0.000001324,
      recv          kbest:,0.000000483,
      recv        average:,0.000001418,
  big send          kbest:,0.000010328,
  big send        average:,0.000015721,
  big recv          kbest:,0.000016330,
  big recv        average:,0.000029068,
context siwtch          kbest:,0.000002897,
context siwtch        average:,0.000003739,
      fork          kbest:,0.000091260,
      fork       average:,0.000200840,
      fork    Child kbest:,0.000116887,
      fork Child average:,0.000299405,
thr create          kbest:,0.000007974,
thr create       average:,0.000021215,
thr create    Child kbest:,0.000011840,
thr create Child average:,0.000032729,
  big fork          kbest:,0.001796287,
  big fork       average:,0.002333834,
  big fork    Child kbest:,0.001840314,
  big fork Child average:,0.002526297,
 huge fork          kbest:,0.003708254,
 huge fork       average:,0.005026693,
 huge fork    Child kbest:,0.003837188,
 huge fork Child average:,0.005212818,
small write          kbest:,0.000000800,
small write        average:,0.000000912,
small read          kbest:,0.000000315,
small read        average:,0.000000342,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000449,
small munmap          kbest:,0.000000866,
small munmap        average:,0.000000907,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000670,
 mid write          kbest:,0.000007092,
 mid write        average:,0.000007562,
  mid read          kbest:,0.000002776,
  mid read        average:,0.000003019,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000436,
mid munmap          kbest:,0.000003346,
mid munmap        average:,0.000003522,
mid page fault          kbest:,0.000000645,
mid page fault        average:,0.000000684,
 big write          kbest:,0.000790695,
 big write        average:,0.000813181,
  big read          kbest:,0.000361824,
  big read        average:,0.000373619,
  big mmap          kbest:,0.000000432,
  big mmap        average:,0.000000468,
big munmap          kbest:,0.000140106,
big munmap        average:,0.000144311,
big page fault          kbest:,0.000000869,
big page fault        average:,0.000000914,
huge write          kbest:,0.012764591,
huge write        average:,0.012954482,
 huge read          kbest:,0.019156488,
 huge read        average:,0.019748297,
 huge mmap          kbest:,0.000000435,
 huge mmap        average:,0.000000477,
huge munmap          kbest:,0.001506718,
huge munmap        average:,0.001528390,
huge page fault          kbest:,0.000000862,
huge page fault        average:,0.000000926,
    select          kbest:,0.000000620,
    select        average:,0.000000704,
      poll          kbest:,0.000000563,
      poll        average:,0.000000650,
     epoll          kbest:,0.000000786,
     epoll        average:,0.000000913,
select big          kbest:,0.000051542,
select big        average:,0.000057908,
  poll big          kbest:,0.000064404,
  poll big        average:,0.000072281,
 epoll big          kbest:,0.000088112,
 epoll big        average:,0.000102766,
