OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000035,
       cpu          kbest:,0.003084596,
       cpu        average:,0.003752284,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000538,
      send          kbest:,0.000000900,
      send        average:,0.000001972,
      recv          kbest:,0.000001197,
      recv        average:,0.000002122,
  big send          kbest:,0.000010983,
  big send        average:,0.000013257,
  big recv          kbest:,0.000021448,
  big recv        average:,0.000032144,
context siwtch          kbest:,0.000005479,
context siwtch        average:,0.000007009,
      fork          kbest:,0.000086730,
      fork       average:,0.000190781,
      fork    Child kbest:,0.000157301,
      fork Child average:,0.000320861,
thr create          kbest:,0.000012435,
thr create       average:,0.000026523,
thr create    Child kbest:,0.000016771,
thr create Child average:,0.000040573,
  big fork          kbest:,0.001729295,
  big fork       average:,0.002647747,
  big fork    Child kbest:,0.001859051,
  big fork Child average:,0.002805121,
 huge fork          kbest:,0.004555391,
 huge fork       average:,0.005917557,
 huge fork    Child kbest:,0.004733326,
 huge fork Child average:,0.006062676,
small write          kbest:,0.000001506,
small write        average:,0.000001797,
small read          kbest:,0.000000838,
small read        average:,0.000000872,
small mmap          kbest:,0.000000982,
small mmap        average:,0.000001030,
small munmap          kbest:,0.000001548,
small munmap        average:,0.000001605,
small page fault          kbest:,0.000001100,
small page fault        average:,0.000001134,
 mid write          kbest:,0.000008017,
 mid write        average:,0.000008245,
  mid read          kbest:,0.000003402,
  mid read        average:,0.000003596,
  mid mmap          kbest:,0.000000968,
  mid mmap        average:,0.000001012,
mid munmap          kbest:,0.000005340,
mid munmap        average:,0.000005497,
mid page fault          kbest:,0.000001693,
mid page fault        average:,0.000001751,
 big write          kbest:,0.000810839,
 big write        average:,0.000829925,
  big read          kbest:,0.000375691,
  big read        average:,0.000384007,
  big mmap          kbest:,0.000000972,
  big mmap        average:,0.000001023,
big munmap          kbest:,0.000132983,
big munmap        average:,0.000137373,
big page fault          kbest:,0.000002370,
big page fault        average:,0.000003209,
huge write          kbest:,0.013238281,
huge write        average:,0.013399059,
 huge read          kbest:,0.019627596,
 huge read        average:,0.019965329,
 huge mmap          kbest:,0.000000965,
 huge mmap        average:,0.000001008,
huge munmap          kbest:,0.001550613,
huge munmap        average:,0.001575897,
huge page fault          kbest:,0.000002362,
huge page fault        average:,0.000002671,
    select          kbest:,0.000001585,
    select        average:,0.000001699,
      poll          kbest:,0.000001542,
      poll        average:,0.000001689,
     epoll          kbest:,0.000001730,
     epoll        average:,0.000001881,
select big          kbest:,0.000114476,
select big        average:,0.000129281,
  poll big          kbest:,0.000125538,
  poll big        average:,0.000139594,
 epoll big          kbest:,0.000148252,
 epoll big        average:,0.000168040,
