OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003103488,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000083,
      send          kbest:,0.000000351,
      send        average:,0.000001267,
      recv          kbest:,0.000000479,
      recv        average:,0.000001383,
  big send          kbest:,0.000009920,
  big send        average:,0.000016300,
  big recv          kbest:,0.000016132,
  big recv        average:,0.000028675,
context siwtch          kbest:,0.000002902,
context siwtch        average:,0.000003713,
      fork          kbest:,0.000083975,
      fork       average:,0.000202591,
      fork    Child kbest:,0.000131070,
      fork Child average:,0.000307438,
thr create          kbest:,0.000008435,
thr create       average:,0.000020856,
thr create    Child kbest:,0.000011131,
thr create Child average:,0.000032733,
  big fork          kbest:,0.001758546,
  big fork       average:,0.002321952,
  big fork    Child kbest:,0.001864975,
  big fork Child average:,0.002519581,
 huge fork          kbest:,0.003545509,
 huge fork       average:,0.004977050,
 huge fork    Child kbest:,0.003689645,
 huge fork Child average:,0.005175110,
small write          kbest:,0.000000811,
small write        average:,0.000000960,
small read          kbest:,0.000000314,
small read        average:,0.000000351,
small mmap          kbest:,0.000000416,
small mmap        average:,0.000000443,
small munmap          kbest:,0.000000858,
small munmap        average:,0.000000895,
small page fault          kbest:,0.000000627,
small page fault        average:,0.000000673,
 mid write          kbest:,0.000007178,
 mid write        average:,0.000007522,
  mid read          kbest:,0.000002783,
  mid read        average:,0.000002945,
  mid mmap          kbest:,0.000000402,
  mid mmap        average:,0.000000445,
mid munmap          kbest:,0.000003363,
mid munmap        average:,0.000003477,
mid page fault          kbest:,0.000001169,
mid page fault        average:,0.000001217,
 big write          kbest:,0.000812164,
 big write        average:,0.000832455,
  big read          kbest:,0.000376290,
  big read        average:,0.000386100,
  big mmap          kbest:,0.000000425,
  big mmap        average:,0.000000462,
big munmap          kbest:,0.000140041,
big munmap        average:,0.000142950,
big page fault          kbest:,0.000001758,
big page fault        average:,0.000001835,
huge write          kbest:,0.012721380,
huge write        average:,0.012925872,
 huge read          kbest:,0.019173675,
 huge read        average:,0.019723809,
 huge mmap          kbest:,0.000000436,
 huge mmap        average:,0.000000483,
huge munmap          kbest:,0.001593262,
huge munmap        average:,0.001623010,
huge page fault          kbest:,0.000001753,
huge page fault        average:,0.000001849,
    select          kbest:,0.000000633,
    select        average:,0.000000732,
      poll          kbest:,0.000000555,
      poll        average:,0.000000637,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000927,
select big          kbest:,0.000051090,
select big        average:,0.000059000,
  poll big          kbest:,0.000064927,
  poll big        average:,0.000073517,
 epoll big          kbest:,0.000088816,
 epoll big        average:,0.000104164,
