OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084588,
       cpu        average:,0.003101889,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000359,
      send        average:,0.000001242,
      recv          kbest:,0.000000481,
      recv        average:,0.000001481,
  big send          kbest:,0.000010013,
  big send        average:,0.000016269,
  big recv          kbest:,0.000016110,
  big recv        average:,0.000029755,
context siwtch          kbest:,0.000002887,
context siwtch        average:,0.000003716,
      fork          kbest:,0.000085005,
      fork       average:,0.000204743,
      fork    Child kbest:,0.000121132,
      fork Child average:,0.000302564,
thr create          kbest:,0.000008081,
thr create       average:,0.000020946,
thr create    Child kbest:,0.000011745,
thr create Child average:,0.000032428,
  big fork          kbest:,0.001804796,
  big fork       average:,0.002347316,
  big fork    Child kbest:,0.001929039,
  big fork Child average:,0.002536760,
 huge fork          kbest:,0.003716815,
 huge fork       average:,0.005013023,
 huge fork    Child kbest:,0.003848214,
 huge fork Child average:,0.005190555,
small write          kbest:,0.000000802,
small write        average:,0.000000965,
small read          kbest:,0.000000315,
small read        average:,0.000000356,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000451,
small munmap          kbest:,0.000000875,
small munmap        average:,0.000000927,
small page fault          kbest:,0.000000641,
small page fault        average:,0.000000687,
 mid write          kbest:,0.000007084,
 mid write        average:,0.000007481,
  mid read          kbest:,0.000002754,
  mid read        average:,0.000002963,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000462,
mid munmap          kbest:,0.000003374,
mid munmap        average:,0.000003516,
mid page fault          kbest:,0.000000641,
mid page fault        average:,0.000000668,
 big write          kbest:,0.000795377,
 big write        average:,0.000825004,
  big read          kbest:,0.000362768,
  big read        average:,0.000375832,
  big mmap          kbest:,0.000000435,
  big mmap        average:,0.000000465,
big munmap          kbest:,0.000139772,
big munmap        average:,0.000145141,
big page fault          kbest:,0.000000860,
big page fault        average:,0.000000925,
huge write          kbest:,0.012728391,
huge write        average:,0.012968010,
 huge read          kbest:,0.019320825,
 huge read        average:,0.019829031,
 huge mmap          kbest:,0.000000438,
 huge mmap        average:,0.000000474,
huge munmap          kbest:,0.001495635,
huge munmap        average:,0.001522245,
huge page fault          kbest:,0.000000865,
huge page fault        average:,0.000000907,
    select          kbest:,0.000000619,
    select        average:,0.000000707,
      poll          kbest:,0.000000562,
      poll        average:,0.000000672,
     epoll          kbest:,0.000000812,
     epoll        average:,0.000000942,
select big          kbest:,0.000051654,
select big        average:,0.000059154,
  poll big          kbest:,0.000064297,
  poll big        average:,0.000072329,
 epoll big          kbest:,0.000088766,
 epoll big        average:,0.000104854,
