OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084594,
       cpu        average:,0.003108159,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000356,
      send        average:,0.000001095,
      recv          kbest:,0.000000481,
      recv        average:,0.000001476,
  big send          kbest:,0.000010064,
  big send        average:,0.000016658,
  big recv          kbest:,0.000016280,
  big recv        average:,0.000028954,
context siwtch          kbest:,0.000002881,
context siwtch        average:,0.000003707,
      fork          kbest:,0.000083571,
      fork       average:,0.000204083,
      fork    Child kbest:,0.000129246,
      fork Child average:,0.000306650,
thr create          kbest:,0.000007856,
thr create       average:,0.000020898,
thr create    Child kbest:,0.000011065,
thr create Child average:,0.000032829,
  big fork          kbest:,0.001769296,
  big fork       average:,0.002329626,
  big fork    Child kbest:,0.001792806,
  big fork Child average:,0.002523059,
 huge fork          kbest:,0.003700436,
 huge fork       average:,0.004957685,
 huge fork    Child kbest:,0.003761243,
 huge fork Child average:,0.005150345,
small write          kbest:,0.000000859,
small write        average:,0.000000985,
small read          kbest:,0.000000322,
small read        average:,0.000000344,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000456,
small munmap          kbest:,0.000000869,
small munmap        average:,0.000000911,
small page fault          kbest:,0.000000628,
small page fault        average:,0.000000663,
 mid write          kbest:,0.000007167,
 mid write        average:,0.000007486,
  mid read          kbest:,0.000002783,
  mid read        average:,0.000002947,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000455,
mid munmap          kbest:,0.000003348,
mid munmap        average:,0.000003496,
mid page fault          kbest:,0.000001171,
mid page fault        average:,0.000001250,
 big write          kbest:,0.000819637,
 big write        average:,0.000853330,
  big read          kbest:,0.000380945,
  big read        average:,0.000401027,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000445,
big munmap          kbest:,0.000139617,
big munmap        average:,0.000143673,
big page fault          kbest:,0.000001758,
big page fault        average:,0.000001847,
huge write          kbest:,0.012645318,
huge write        average:,0.012952196,
 huge read          kbest:,0.019204545,
 huge read        average:,0.019777733,
 huge mmap          kbest:,0.000000406,
 huge mmap        average:,0.000000443,
huge munmap          kbest:,0.001600762,
huge munmap        average:,0.001625349,
huge page fault          kbest:,0.000001768,
huge page fault        average:,0.000001831,
    select          kbest:,0.000000622,
    select        average:,0.000000684,
      poll          kbest:,0.000000554,
      poll        average:,0.000000623,
     epoll          kbest:,0.000000783,
     epoll        average:,0.000000906,
select big          kbest:,0.000051410,
select big        average:,0.000059549,
  poll big          kbest:,0.000065171,
  poll big        average:,0.000072854,
 epoll big          kbest:,0.000088365,
 epoll big        average:,0.000102726,
