OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003119047,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000352,
      send        average:,0.000001150,
      recv          kbest:,0.000000481,
      recv        average:,0.000001377,
  big send          kbest:,0.000010184,
  big send        average:,0.000015941,
  big recv          kbest:,0.000016233,
  big recv        average:,0.000028786,
context siwtch          kbest:,0.000002881,
context siwtch        average:,0.000003699,
      fork          kbest:,0.000084785,
      fork       average:,0.000200936,
      fork    Child kbest:,0.000128973,
      fork Child average:,0.000304439,
thr create          kbest:,0.000008555,
thr create       average:,0.000021083,
thr create    Child kbest:,0.000011237,
thr create Child average:,0.000032745,
  big fork          kbest:,0.001740127,
  big fork       average:,0.002317075,
  big fork    Child kbest:,0.001812606,
  big fork Child average:,0.002524169,
 huge fork          kbest:,0.003540343,
 huge fork       average:,0.004971537,
 huge fork    Child kbest:,0.003686231,
 huge fork Child average:,0.005168776,
small write          kbest:,0.000000805,
small write        average:,0.000000956,
small read          kbest:,0.000000318,
small read        average:,0.000000349,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000450,
small munmap          kbest:,0.000000859,
small munmap        average:,0.000000895,
small page fault          kbest:,0.000000630,
small page fault        average:,0.000000662,
 mid write          kbest:,0.000007083,
 mid write        average:,0.000007472,
  mid read          kbest:,0.000002765,
  mid read        average:,0.000002978,
  mid mmap          kbest:,0.000000405,
  mid mmap        average:,0.000000434,
mid munmap          kbest:,0.000003358,
mid munmap        average:,0.000003484,
mid page fault          kbest:,0.000001178,
mid page fault        average:,0.000001236,
 big write          kbest:,0.000799411,
 big write        average:,0.000822859,
  big read          kbest:,0.000370593,
  big read        average:,0.000382862,
  big mmap          kbest:,0.000000435,
  big mmap        average:,0.000000478,
big munmap          kbest:,0.000141412,
big munmap        average:,0.000147082,
big page fault          kbest:,0.000001759,
big page fault        average:,0.000001849,
huge write          kbest:,0.012757437,
huge write        average:,0.012933390,
 huge read          kbest:,0.019183262,
 huge read        average:,0.019745888,
 huge mmap          kbest:,0.000000438,
 huge mmap        average:,0.000000480,
huge munmap          kbest:,0.001609807,
huge munmap        average:,0.001633849,
huge page fault          kbest:,0.000001986,
huge page fault        average:,0.000002087,
    select          kbest:,0.000000626,
    select        average:,0.000000734,
      poll          kbest:,0.000000565,
      poll        average:,0.000000692,
     epoll          kbest:,0.000000803,
     epoll        average:,0.000000952,
select big          kbest:,0.000051545,
select big        average:,0.000059250,
  poll big          kbest:,0.000065242,
  poll big        average:,0.000073812,
 epoll big          kbest:,0.000088605,
 epoll big        average:,0.000101544,
