OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000047,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003636999,
    getpid          kbest:,0.000000529,
    getpid        average:,0.000000540,
      send          kbest:,0.000000900,
      send        average:,0.000001967,
      recv          kbest:,0.000001187,
      recv        average:,0.000002110,
  big send          kbest:,0.000011138,
  big send        average:,0.000013193,
  big recv          kbest:,0.000020628,
  big recv        average:,0.000032026,
context siwtch          kbest:,0.000005486,
context siwtch        average:,0.000007130,
      fork          kbest:,0.000092253,
      fork       average:,0.000190535,
      fork    Child kbest:,0.000155537,
      fork Child average:,0.000320517,
thr create          kbest:,0.000011385,
thr create       average:,0.000026403,
thr create    Child kbest:,0.000016931,
thr create Child average:,0.000040203,
  big fork          kbest:,0.001786048,
  big fork       average:,0.002620440,
  big fork    Child kbest:,0.001964619,
  big fork Child average:,0.002776674,
 huge fork          kbest:,0.004433331,
 huge fork       average:,0.005934930,
 huge fork    Child kbest:,0.004563278,
 huge fork Child average:,0.006080179,
small write          kbest:,0.000001500,
small write        average:,0.000001821,
small read          kbest:,0.000000834,
small read        average:,0.000000867,
small mmap          kbest:,0.000000979,
small mmap        average:,0.000001030,
small munmap          kbest:,0.000001539,
small munmap        average:,0.000001589,
small page fault          kbest:,0.000001103,
small page fault        average:,0.000001136,
 mid write          kbest:,0.000007968,
 mid write        average:,0.000008252,
  mid read          kbest:,0.000003380,
  mid read        average:,0.000003577,
  mid mmap          kbest:,0.000000962,
  mid mmap        average:,0.000001004,
mid munmap          kbest:,0.000005334,
mid munmap        average:,0.000005510,
mid page fault          kbest:,0.000001693,
mid page fault        average:,0.000001759,
 big write          kbest:,0.000814726,
 big write        average:,0.000833103,
  big read          kbest:,0.000380664,
  big read        average:,0.000391657,
  big mmap          kbest:,0.000000989,
  big mmap        average:,0.000001025,
big munmap          kbest:,0.000133309,
big munmap        average:,0.000137191,
big page fault          kbest:,0.000002361,
big page fault        average:,0.000002672,
huge write          kbest:,0.013131008,
huge write        average:,0.013382969,
 huge read          kbest:,0.019548982,
 huge read        average:,0.019808145,
 huge mmap          kbest:,0.000000963,
 huge mmap        average:,0.000001013,
huge munmap          kbest:,0.001538207,
huge munmap        average:,0.001571702,
huge page fault          kbest:,0.000002369,
huge page fault        average:,0.000002661,
    select          kbest:,0.000001585,
    select        average:,0.000001750,
      poll          kbest:,0.000001537,
      poll        average:,0.000001668,
     epoll          kbest:,0.000001702,
     epoll        average:,0.000001886,
select big          kbest:,0.000114790,
select big        average:,0.000130158,
  poll big          kbest:,0.000125955,
  poll big        average:,0.000139900,
 epoll big          kbest:,0.000149364,
 epoll big        average:,0.000166364,
