OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003100991,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000080,
      send          kbest:,0.000000351,
      send        average:,0.000001152,
      recv          kbest:,0.000000481,
      recv        average:,0.000001402,
  big send          kbest:,0.000010065,
  big send        average:,0.000016216,
  big recv          kbest:,0.000016205,
  big recv        average:,0.000029753,
context siwtch          kbest:,0.000002876,
context siwtch        average:,0.000003698,
      fork          kbest:,0.000083322,
      fork       average:,0.000203097,
      fork    Child kbest:,0.000125467,
      fork Child average:,0.000306493,
thr create          kbest:,0.000008069,
thr create       average:,0.000020778,
thr create    Child kbest:,0.000010783,
thr create Child average:,0.000032210,
  big fork          kbest:,0.001533223,
  big fork       average:,0.002331851,
  big fork    Child kbest:,0.001817613,
  big fork Child average:,0.002526610,
 huge fork          kbest:,0.003547323,
 huge fork       average:,0.004988581,
 huge fork    Child kbest:,0.003659521,
 huge fork Child average:,0.005185128,
small write          kbest:,0.000000811,
small write        average:,0.000000939,
small read          kbest:,0.000000318,
small read        average:,0.000000354,
small mmap          kbest:,0.000000420,
small mmap        average:,0.000000465,
small munmap          kbest:,0.000000871,
small munmap        average:,0.000000913,
small page fault          kbest:,0.000000630,
small page fault        average:,0.000000667,
 mid write          kbest:,0.000007138,
 mid write        average:,0.000007631,
  mid read          kbest:,0.000002768,
  mid read        average:,0.000003026,
  mid mmap          kbest:,0.000000408,
  mid mmap        average:,0.000000521,
mid munmap          kbest:,0.000003354,
mid munmap        average:,0.000003493,
mid page fault          kbest:,0.000001178,
mid page fault        average:,0.000001240,
 big write          kbest:,0.000819627,
 big write        average:,0.000841882,
  big read          kbest:,0.000381106,
  big read        average:,0.000393307,
  big mmap          kbest:,0.000000405,
  big mmap        average:,0.000000435,
big munmap          kbest:,0.000140974,
big munmap        average:,0.000144806,
big page fault          kbest:,0.000001767,
big page fault        average:,0.000001863,
huge write          kbest:,0.012745515,
huge write        average:,0.012954396,
 huge read          kbest:,0.019119139,
 huge read        average:,0.019728808,
 huge mmap          kbest:,0.000000402,
 huge mmap        average:,0.000000437,
huge munmap          kbest:,0.001602807,
huge munmap        average:,0.001627233,
huge page fault          kbest:,0.000001766,
huge page fault        average:,0.000001834,
    select          kbest:,0.000000619,
    select        average:,0.000000671,
      poll          kbest:,0.000000555,
      poll        average:,0.000000633,
     epoll          kbest:,0.000000800,
     epoll        average:,0.000000927,
select big          kbest:,0.000051224,
select big        average:,0.000058806,
  poll big          kbest:,0.000064931,
  poll big        average:,0.000073310,
 epoll big          kbest:,0.000088198,
 epoll big        average:,0.000101494,
