OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084588,
       cpu        average:,0.003101040,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000362,
      send        average:,0.000001237,
      recv          kbest:,0.000000481,
      recv        average:,0.000001393,
  big send          kbest:,0.000010218,
  big send        average:,0.000016238,
  big recv          kbest:,0.000016316,
  big recv        average:,0.000029862,
context siwtch          kbest:,0.000002884,
context siwtch        average:,0.000003708,
      fork          kbest:,0.000086060,
      fork       average:,0.000201362,
      fork    Child kbest:,0.000118430,
      fork Child average:,0.000299808,
thr create          kbest:,0.000007888,
thr create       average:,0.000021284,
thr create    Child kbest:,0.000010793,
thr create Child average:,0.000032705,
  big fork          kbest:,0.001798769,
  big fork       average:,0.002326954,
  big fork    Child kbest:,0.001769463,
  big fork Child average:,0.002523034,
 huge fork          kbest:,0.003723464,
 huge fork       average:,0.005028050,
 huge fork    Child kbest:,0.003851357,
 huge fork Child average:,0.005210571,
small write          kbest:,0.000000816,
small write        average:,0.000000922,
small read          kbest:,0.000000320,
small read        average:,0.000000360,
small mmap          kbest:,0.000000423,
small mmap        average:,0.000000452,
small munmap          kbest:,0.000000869,
small munmap        average:,0.000000910,
small page fault          kbest:,0.000000643,
small page fault        average:,0.000000665,
 mid write          kbest:,0.000007109,
 mid write        average:,0.000007561,
  mid read          kbest:,0.000002758,
  mid read        average:,0.000002959,
  mid mmap          kbest:,0.000000409,
  mid mmap        average:,0.000000451,
mid munmap          kbest:,0.000003382,
mid munmap        average:,0.000003548,
mid page fault          kbest:,0.000000640,
mid page fault        average:,0.000000681,
 big write          kbest:,0.000802407,
 big write        average:,0.000823335,
  big read          kbest:,0.000369446,
  big read        average:,0.000381122,
  big mmap          kbest:,0.000000436,
  big mmap        average:,0.000000462,
big munmap          kbest:,0.000140210,
big munmap        average:,0.000144862,
big page fault          kbest:,0.000000859,
big page fault        average:,0.000000891,
huge write          kbest:,0.012792815,
huge write        average:,0.013036458,
 huge read          kbest:,0.019367086,
 huge read        average:,0.019912012,
 huge mmap          kbest:,0.000000439,
 huge mmap        average:,0.000000478,
huge munmap          kbest:,0.001479540,
huge munmap        average:,0.001502099,
huge page fault          kbest:,0.000000854,
huge page fault        average:,0.000000926,
    select          kbest:,0.000000622,
    select        average:,0.000000692,
      poll          kbest:,0.000000564,
      poll        average:,0.000000621,
     epoll          kbest:,0.000000779,
     epoll        average:,0.000000881,
select big          kbest:,0.000051507,
select big        average:,0.000059152,
  poll big          kbest:,0.000064577,
  poll big        average:,0.000073614,
 epoll big          kbest:,0.000088335,
 epoll big        average:,0.000102309,
