OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003112892,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000083,
      send          kbest:,0.000000361,
      send        average:,0.000001120,
      recv          kbest:,0.000000475,
      recv        average:,0.000001649,
  big send          kbest:,0.000009552,
  big send        average:,0.000015750,
  big recv          kbest:,0.000014997,
  big recv        average:,0.000027196,
context siwtch          kbest:,0.000002894,
context siwtch        average:,0.000003724,
      fork          kbest:,0.000082142,
      fork       average:,0.000202595,
      fork    Child kbest:,0.000109051,
      fork Child average:,0.000300298,
thr create          kbest:,0.000007578,
thr create       average:,0.000019416,
thr create    Child kbest:,0.000009844,
thr create Child average:,0.000031024,
  big fork          kbest:,0.001622141,
  big fork       average:,0.002155609,
  big fork    Child kbest:,0.001627364,
  big fork Child average:,0.002348384,
 huge fork          kbest:,0.003428380,
 huge fork       average:,0.004790002,
 huge fork    Child kbest:,0.003560467,
 huge fork Child average:,0.004980614,
small write          kbest:,0.000000811,
small write        average:,0.000000957,
small read          kbest:,0.000000322,
small read        average:,0.000000346,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000429,
small munmap          kbest:,0.000000752,
small munmap        average:,0.000000836,
small page fault          kbest:,0.000000624,
small page fault        average:,0.000000659,
 mid write          kbest:,0.000007032,
 mid write        average:,0.000007436,
  mid read          kbest:,0.000002785,
  mid read        average:,0.000003005,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000413,
mid munmap          kbest:,0.000003012,
mid munmap        average:,0.000003148,
mid page fault          kbest:,0.000001146,
mid page fault        average:,0.000001200,
 big write          kbest:,0.000791483,
 big write        average:,0.000819381,
  big read          kbest:,0.000364818,
  big read        average:,0.000379287,
  big mmap          kbest:,0.000000407,
  big mmap        average:,0.000000439,
big munmap          kbest:,0.000131458,
big munmap        average:,0.000135548,
big page fault          kbest:,0.000001670,
big page fault        average:,0.000001794,
huge write          kbest:,0.012782588,
huge write        average:,0.012907181,
 huge read          kbest:,0.019071861,
 huge read        average:,0.019586825,
 huge mmap          kbest:,0.000000404,
 huge mmap        average:,0.000000425,
huge munmap          kbest:,0.001638001,
huge munmap        average:,0.001667715,
huge page fault          kbest:,0.000001671,
huge page fault        average:,0.000001729,
    select          kbest:,0.000000617,
    select        average:,0.000000678,
      poll          kbest:,0.000000563,
      poll        average:,0.000000659,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000916,
select big          kbest:,0.000055409,
select big        average:,0.000063843,
  poll big          kbest:,0.000068931,
  poll big        average:,0.000078170,
 epoll big          kbest:,0.000093540,
 epoll big        average:,0.000109054,
