OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000035,
       cpu          kbest:,0.003084588,
       cpu        average:,0.003102049,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000363,
      send        average:,0.000001196,
      recv          kbest:,0.000000487,
      recv        average:,0.000001392,
  big send          kbest:,0.000010789,
  big send        average:,0.000015595,
  big recv          kbest:,0.000016120,
  big recv        average:,0.000029167,
context siwtch          kbest:,0.000002889,
context siwtch        average:,0.000003716,
      fork          kbest:,0.000086052,
      fork       average:,0.000203004,
      fork    Child kbest:,0.000123991,
      fork Child average:,0.000300719,
thr create          kbest:,0.000008878,
thr create       average:,0.000021262,
thr create    Child kbest:,0.000011342,
thr create Child average:,0.000032784,
  big fork          kbest:,0.001847746,
  big fork       average:,0.002400059,
  big fork    Child kbest:,0.001831291,
  big fork Child average:,0.002590622,
 huge fork          kbest:,0.003688699,
 huge fork       average:,0.005020378,
 huge fork    Child kbest:,0.003755292,
 huge fork Child average:,0.005202721,
small write          kbest:,0.000000801,
small write        average:,0.000000951,
small read          kbest:,0.000000314,
small read        average:,0.000000342,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000450,
small munmap          kbest:,0.000000871,
small munmap        average:,0.000000907,
small page fault          kbest:,0.000000643,
small page fault        average:,0.000000693,
 mid write          kbest:,0.000007129,
 mid write        average:,0.000007541,
  mid read          kbest:,0.000002794,
  mid read        average:,0.000003009,
  mid mmap          kbest:,0.000000406,
  mid mmap        average:,0.000000455,
mid munmap          kbest:,0.000003354,
mid munmap        average:,0.000003550,
mid page fault          kbest:,0.000000641,
mid page fault        average:,0.000000683,
 big write          kbest:,0.000801909,
 big write        average:,0.000828160,
  big read          kbest:,0.000371302,
  big read        average:,0.000381785,
  big mmap          kbest:,0.000000408,
  big mmap        average:,0.000000443,
big munmap          kbest:,0.000140661,
big munmap        average:,0.000145080,
big page fault          kbest:,0.000000862,
big page fault        average:,0.000000913,
huge write          kbest:,0.012757328,
huge write        average:,0.012937694,
 huge read          kbest:,0.019148623,
 huge read        average:,0.019724911,
 huge mmap          kbest:,0.000000400,
 huge mmap        average:,0.000000444,
huge munmap          kbest:,0.001520510,
huge munmap        average:,0.001546984,
huge page fault          kbest:,0.000000854,
huge page fault        average:,0.000000897,
    select          kbest:,0.000000621,
    select        average:,0.000000706,
      poll          kbest:,0.000000561,
      poll        average:,0.000000648,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000896,
select big          kbest:,0.000051342,
select big        average:,0.000059533,
  poll big          kbest:,0.000063935,
  poll big        average:,0.000073561,
 epoll big          kbest:,0.000088307,
 epoll big        average:,0.000102020,
