OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084588,
       cpu        average:,0.003102188,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
      send          kbest:,0.000000351,
      send        average:,0.000001254,
      recv          kbest:,0.000000481,
      recv        average:,0.000001406,
  big send          kbest:,0.000010254,
  big send        average:,0.000016558,
  big recv          kbest:,0.000016308,
  big recv        average:,0.000028467,
context siwtch          kbest:,0.000002896,
context siwtch        average:,0.000003729,
      fork          kbest:,0.000084673,
      fork       average:,0.000205976,
      fork    Child kbest:,0.000124151,
      fork Child average:,0.000304239,
thr create          kbest:,0.000008649,
thr create       average:,0.000021504,
thr create    Child kbest:,0.000010970,
thr create Child average:,0.000033569,
  big fork          kbest:,0.001661641,
  big fork       average:,0.002371128,
  big fork    Child kbest:,0.001752232,
  big fork Child average:,0.002561375,
 huge fork          kbest:,0.003711385,
 huge fork       average:,0.005023263,
 huge fork    Child kbest:,0.003843021,
 huge fork Child average:,0.005200674,
small write          kbest:,0.000000805,
small write        average:,0.000000925,
small read          kbest:,0.000000315,
small read        average:,0.000000344,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000458,
small munmap          kbest:,0.000000875,
small munmap        average:,0.000000926,
small page fault          kbest:,0.000000641,
small page fault        average:,0.000000685,
 mid write          kbest:,0.000007111,
 mid write        average:,0.000007489,
  mid read          kbest:,0.000002779,
  mid read        average:,0.000003073,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000429,
mid munmap          kbest:,0.000003356,
mid munmap        average:,0.000003549,
mid page fault          kbest:,0.000000640,
mid page fault        average:,0.000000668,
 big write          kbest:,0.000797928,
 big write        average:,0.000827543,
  big read          kbest:,0.000368766,
  big read        average:,0.000383919,
  big mmap          kbest:,0.000000431,
  big mmap        average:,0.000000451,
big munmap          kbest:,0.000140236,
big munmap        average:,0.000144271,
big page fault          kbest:,0.000000859,
big page fault        average:,0.000000916,
huge write          kbest:,0.012730122,
huge write        average:,0.012858367,
 huge read          kbest:,0.019236492,
 huge read        average:,0.019778661,
 huge mmap          kbest:,0.000000438,
 huge mmap        average:,0.000000472,
huge munmap          kbest:,0.001544238,
huge munmap        average:,0.001569112,
huge page fault          kbest:,0.000000855,
huge page fault        average:,0.000000936,
    select          kbest:,0.000000618,
    select        average:,0.000000697,
      poll          kbest:,0.000000558,
      poll        average:,0.000000642,
     epoll          kbest:,0.000000788,
     epoll        average:,0.000000890,
select big          kbest:,0.000050940,
select big        average:,0.000058709,
  poll big          kbest:,0.000064017,
  poll big        average:,0.000072255,
 epoll big          kbest:,0.000088886,
 epoll big        average:,0.000101581,
