OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084582,
       cpu        average:,0.003104430,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
      send          kbest:,0.000000327,
      send        average:,0.000001109,
      recv          kbest:,0.000000475,
      recv        average:,0.000001584,
  big send          kbest:,0.000009614,
  big send        average:,0.000015358,
  big recv          kbest:,0.000015153,
  big recv        average:,0.000027731,
context siwtch          kbest:,0.000002890,
context siwtch        average:,0.000003728,
      fork          kbest:,0.000079597,
      fork       average:,0.000197255,
      fork    Child kbest:,0.000115248,
      fork Child average:,0.000296088,
thr create          kbest:,0.000007682,
thr create       average:,0.000019373,
thr create    Child kbest:,0.000011173,
thr create Child average:,0.000031388,
  big fork          kbest:,0.001581984,
  big fork       average:,0.002143871,
  big fork    Child kbest:,0.001693383,
  big fork Child average:,0.002342969,
 huge fork          kbest:,0.003476739,
 huge fork       average:,0.004794144,
 huge fork    Child kbest:,0.003605847,
 huge fork Child average:,0.004982313,
small write          kbest:,0.000000803,
small write        average:,0.000000946,
small read          kbest:,0.000000320,
small read        average:,0.000000359,
small mmap          kbest:,0.000000402,
small mmap        average:,0.000000435,
small munmap          kbest:,0.000000756,
small munmap        average:,0.000000804,
small page fault          kbest:,0.000000626,
small page fault        average:,0.000000668,
 mid write          kbest:,0.000007026,
 mid write        average:,0.000007346,
  mid read          kbest:,0.000002788,
  mid read        average:,0.000002944,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000409,
mid munmap          kbest:,0.000003010,
mid munmap        average:,0.000003139,
mid page fault          kbest:,0.000001150,
mid page fault        average:,0.000001196,
 big write          kbest:,0.000802579,
 big write        average:,0.000827860,
  big read          kbest:,0.000375805,
  big read        average:,0.000389305,
  big mmap          kbest:,0.000000386,
  big mmap        average:,0.000000417,
big munmap          kbest:,0.000130145,
big munmap        average:,0.000133327,
big page fault          kbest:,0.000001680,
big page fault        average:,0.000001744,
huge write          kbest:,0.012655437,
huge write        average:,0.012907359,
 huge read          kbest:,0.018971853,
 huge read        average:,0.019611526,
 huge mmap          kbest:,0.000000379,
 huge mmap        average:,0.000000406,
huge munmap          kbest:,0.001650893,
huge munmap        average:,0.001675639,
huge page fault          kbest:,0.000001676,
huge page fault        average:,0.000001743,
    select          kbest:,0.000000621,
    select        average:,0.000000734,
      poll          kbest:,0.000000562,
      poll        average:,0.000000664,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000926,
select big          kbest:,0.000055373,
select big        average:,0.000063645,
  poll big          kbest:,0.000068797,
  poll big        average:,0.000077346,
 epoll big          kbest:,0.000092986,
 epoll big        average:,0.000108811,
