OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003101781,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000080,
      send          kbest:,0.000000325,
      send        average:,0.000001173,
      recv          kbest:,0.000000473,
      recv        average:,0.000001617,
  big send          kbest:,0.000009602,
  big send        average:,0.000015287,
  big recv          kbest:,0.000015171,
  big recv        average:,0.000027308,
context siwtch          kbest:,0.000002883,
context siwtch        average:,0.000003712,
      fork          kbest:,0.000083579,
      fork       average:,0.000200350,
      fork    Child kbest:,0.000116408,
      fork Child average:,0.000299276,
thr create          kbest:,0.000007916,
thr create       average:,0.000019610,
thr create    Child kbest:,0.000010955,
thr create Child average:,0.000031493,
  big fork          kbest:,0.001683841,
  big fork       average:,0.002172334,
  big fork    Child kbest:,0.001669001,
  big fork Child average:,0.002369223,
 huge fork          kbest:,0.003575885,
 huge fork       average:,0.004846407,
 huge fork    Child kbest:,0.003711124,
 huge fork Child average:,0.005027023,
small write          kbest:,0.000000806,
small write        average:,0.000000952,
small read          kbest:,0.000000321,
small read        average:,0.000000355,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000441,
small munmap          kbest:,0.000000754,
small munmap        average:,0.000000799,
small page fault          kbest:,0.000000624,
small page fault        average:,0.000000665,
 mid write          kbest:,0.000007053,
 mid write        average:,0.000007383,
  mid read          kbest:,0.000002791,
  mid read        average:,0.000003015,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000427,
mid munmap          kbest:,0.000003021,
mid munmap        average:,0.000003147,
mid page fault          kbest:,0.000001144,
mid page fault        average:,0.000001213,
 big write          kbest:,0.000795939,
 big write        average:,0.000823244,
  big read          kbest:,0.000368411,
  big read        average:,0.000385007,
  big mmap          kbest:,0.000000387,
  big mmap        average:,0.000000416,
big munmap          kbest:,0.000131527,
big munmap        average:,0.000136487,
big page fault          kbest:,0.000001688,
big page fault        average:,0.000001789,
huge write          kbest:,0.012800636,
huge write        average:,0.012925198,
 huge read          kbest:,0.018955484,
 huge read        average:,0.019511054,
 huge mmap          kbest:,0.000000379,
 huge mmap        average:,0.000000400,
huge munmap          kbest:,0.001622468,
huge munmap        average:,0.001644178,
huge page fault          kbest:,0.000001694,
huge page fault        average:,0.000001752,
    select          kbest:,0.000000617,
    select        average:,0.000000707,
      poll          kbest:,0.000000561,
      poll        average:,0.000000661,
     epoll          kbest:,0.000000780,
     epoll        average:,0.000000937,
select big          kbest:,0.000056125,
select big        average:,0.000064557,
  poll big          kbest:,0.000069426,
  poll big        average:,0.000079106,
 epoll big          kbest:,0.000094668,
 epoll big        average:,0.000110845,
