OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003106788,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000354,
      send        average:,0.000001091,
      recv          kbest:,0.000000479,
      recv        average:,0.000001403,
  big send          kbest:,0.000010127,
  big send        average:,0.000016411,
  big recv          kbest:,0.000016292,
  big recv        average:,0.000029231,
context siwtch          kbest:,0.000002894,
context siwtch        average:,0.000003727,
      fork          kbest:,0.000087683,
      fork       average:,0.000197720,
      fork    Child kbest:,0.000125472,
      fork Child average:,0.000297668,
thr create          kbest:,0.000008139,
thr create       average:,0.000021036,
thr create    Child kbest:,0.000011306,
thr create Child average:,0.000032430,
  big fork          kbest:,0.001727309,
  big fork       average:,0.002299892,
  big fork    Child kbest:,0.001770364,
  big fork Child average:,0.002496217,
 huge fork          kbest:,0.003528994,
 huge fork       average:,0.004956726,
 huge fork    Child kbest:,0.003583049,
 huge fork Child average:,0.005153963,
small write          kbest:,0.000000803,
small write        average:,0.000000964,
small read          kbest:,0.000000318,
small read        average:,0.000000334,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000472,
small munmap          kbest:,0.000000862,
small munmap        average:,0.000000914,
small page fault          kbest:,0.000000635,
small page fault        average:,0.000000661,
 mid write          kbest:,0.000007143,
 mid write        average:,0.000007491,
  mid read          kbest:,0.000002778,
  mid read        average:,0.000003053,
  mid mmap          kbest:,0.000000410,
  mid mmap        average:,0.000000449,
mid munmap          kbest:,0.000003363,
mid munmap        average:,0.000003510,
mid page fault          kbest:,0.000001189,
mid page fault        average:,0.000001232,
 big write          kbest:,0.000804129,
 big write        average:,0.000828277,
  big read          kbest:,0.000375590,
  big read        average:,0.000389139,
  big mmap          kbest:,0.000000432,
  big mmap        average:,0.000000466,
big munmap          kbest:,0.000141778,
big munmap        average:,0.000146591,
big page fault          kbest:,0.000001787,
big page fault        average:,0.000001908,
huge write          kbest:,0.012653723,
huge write        average:,0.012873299,
 huge read          kbest:,0.019169096,
 huge read        average:,0.019743039,
 huge mmap          kbest:,0.000000439,
 huge mmap        average:,0.000000474,
huge munmap          kbest:,0.001606338,
huge munmap        average:,0.001632694,
huge page fault          kbest:,0.000001783,
huge page fault        average:,0.000001853,
    select          kbest:,0.000000620,
    select        average:,0.000000712,
      poll          kbest:,0.000000557,
      poll        average:,0.000000637,
     epoll          kbest:,0.000000780,
     epoll        average:,0.000000909,
select big          kbest:,0.000051752,
select big        average:,0.000059204,
  poll big          kbest:,0.000064972,
  poll big        average:,0.000073326,
 epoll big          kbest:,0.000088457,
 epoll big        average:,0.000102838,
