OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084596,
       cpu        average:,0.003100181,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
      send          kbest:,0.000000357,
      send        average:,0.000001159,
      recv          kbest:,0.000000479,
      recv        average:,0.000001393,
  big send          kbest:,0.000010213,
  big send        average:,0.000016260,
  big recv          kbest:,0.000015579,
  big recv        average:,0.000029306,
context siwtch          kbest:,0.000002909,
context siwtch        average:,0.000003735,
      fork          kbest:,0.000081649,
      fork       average:,0.000203335,
      fork    Child kbest:,0.000127404,
      fork Child average:,0.000307585,
thr create          kbest:,0.000008183,
thr create       average:,0.000021038,
thr create    Child kbest:,0.000011700,
thr create Child average:,0.000032711,
  big fork          kbest:,0.001731736,
  big fork       average:,0.002313969,
  big fork    Child kbest:,0.001744814,
  big fork Child average:,0.002514500,
 huge fork          kbest:,0.003528561,
 huge fork       average:,0.004961307,
 huge fork    Child kbest:,0.003623019,
 huge fork Child average:,0.005161179,
small write          kbest:,0.000000816,
small write        average:,0.000000991,
small read          kbest:,0.000000319,
small read        average:,0.000000339,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000458,
small munmap          kbest:,0.000000868,
small munmap        average:,0.000000912,
small page fault          kbest:,0.000000629,
small page fault        average:,0.000000667,
 mid write          kbest:,0.000007160,
 mid write        average:,0.000007515,
  mid read          kbest:,0.000002775,
  mid read        average:,0.000002988,
  mid mmap          kbest:,0.000000408,
  mid mmap        average:,0.000000442,
mid munmap          kbest:,0.000003352,
mid munmap        average:,0.000003495,
mid page fault          kbest:,0.000001176,
mid page fault        average:,0.000001229,
 big write          kbest:,0.000816871,
 big write        average:,0.000843478,
  big read          kbest:,0.000379397,
  big read        average:,0.000393692,
  big mmap          kbest:,0.000000434,
  big mmap        average:,0.000000471,
big munmap          kbest:,0.000140638,
big munmap        average:,0.000145452,
big page fault          kbest:,0.000001765,
big page fault        average:,0.000001889,
huge write          kbest:,0.012686945,
huge write        average:,0.012925052,
 huge read          kbest:,0.019161463,
 huge read        average:,0.019722729,
 huge mmap          kbest:,0.000000441,
 huge mmap        average:,0.000000486,
huge munmap          kbest:,0.001595656,
huge munmap        average:,0.001621735,
huge page fault          kbest:,0.000001756,
huge page fault        average:,0.000001856,
    select          kbest:,0.000000617,
    select        average:,0.000000696,
      poll          kbest:,0.000000556,
      poll        average:,0.000000673,
     epoll          kbest:,0.000000798,
     epoll        average:,0.000000918,
select big          kbest:,0.000051056,
select big        average:,0.000058634,
  poll big          kbest:,0.000064734,
  poll big        average:,0.000073513,
 epoll big          kbest:,0.000088536,
 epoll big        average:,0.000102116,
