OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003120248,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000085,
      send          kbest:,0.000000358,
      send        average:,0.000001177,
      recv          kbest:,0.000000481,
      recv        average:,0.000001424,
  big send          kbest:,0.000010350,
  big send        average:,0.000016706,
  big recv          kbest:,0.000016325,
  big recv        average:,0.000028704,
context siwtch          kbest:,0.000002895,
context siwtch        average:,0.000003722,
      fork          kbest:,0.000087160,
      fork       average:,0.000201085,
      fork    Child kbest:,0.000123129,
      fork Child average:,0.000304835,
thr create          kbest:,0.000008625,
thr create       average:,0.000021365,
thr create    Child kbest:,0.000011216,
thr create Child average:,0.000033184,
  big fork          kbest:,0.001736365,
  big fork       average:,0.002310049,
  big fork    Child kbest:,0.001883885,
  big fork Child average:,0.002513414,
 huge fork          kbest:,0.003716429,
 huge fork       average:,0.004948627,
 huge fork    Child kbest:,0.003764205,
 huge fork Child average:,0.005148330,
small write          kbest:,0.000000812,
small write        average:,0.000000964,
small read          kbest:,0.000000313,
small read        average:,0.000000340,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000451,
small munmap          kbest:,0.000000852,
small munmap        average:,0.000000909,
small page fault          kbest:,0.000000630,
small page fault        average:,0.000000666,
 mid write          kbest:,0.000007154,
 mid write        average:,0.000007450,
  mid read          kbest:,0.000002764,
  mid read        average:,0.000002972,
  mid mmap          kbest:,0.000000406,
  mid mmap        average:,0.000000435,
mid munmap          kbest:,0.000003346,
mid munmap        average:,0.000003507,
mid page fault          kbest:,0.000001168,
mid page fault        average:,0.000001225,
 big write          kbest:,0.000821220,
 big write        average:,0.000849972,
  big read          kbest:,0.000380119,
  big read        average:,0.000396897,
  big mmap          kbest:,0.000000407,
  big mmap        average:,0.000000453,
big munmap          kbest:,0.000139470,
big munmap        average:,0.000142486,
big page fault          kbest:,0.000001777,
big page fault        average:,0.000001877,
huge write          kbest:,0.012801076,
huge write        average:,0.012984603,
 huge read          kbest:,0.019244173,
 huge read        average:,0.019795529,
 huge mmap          kbest:,0.000000402,
 huge mmap        average:,0.000000433,
huge munmap          kbest:,0.001598053,
huge munmap        average:,0.001624426,
huge page fault          kbest:,0.000001750,
huge page fault        average:,0.000001839,
    select          kbest:,0.000000618,
    select        average:,0.000000705,
      poll          kbest:,0.000000558,
      poll        average:,0.000000666,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000923,
select big          kbest:,0.000051383,
select big        average:,0.000058901,
  poll big          kbest:,0.000065107,
  poll big        average:,0.000073264,
 epoll big          kbest:,0.000088759,
 epoll big        average:,0.000105240,
