OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003120183,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
      send          kbest:,0.000000323,
      send        average:,0.000001163,
      recv          kbest:,0.000000475,
      recv        average:,0.000001593,
  big send          kbest:,0.000009340,
  big send        average:,0.000014823,
  big recv          kbest:,0.000014787,
  big recv        average:,0.000027896,
context siwtch          kbest:,0.000002900,
context siwtch        average:,0.000003730,
      fork          kbest:,0.000085069,
      fork       average:,0.000199892,
      fork    Child kbest:,0.000120041,
      fork Child average:,0.000297607,
thr create          kbest:,0.000008273,
thr create       average:,0.000019820,
thr create    Child kbest:,0.000011081,
thr create Child average:,0.000031989,
  big fork          kbest:,0.001602794,
  big fork       average:,0.002144606,
  big fork    Child kbest:,0.001611929,
  big fork Child average:,0.002338010,
 huge fork          kbest:,0.003624644,
 huge fork       average:,0.004834294,
 huge fork    Child kbest:,0.003630057,
 huge fork Child average:,0.005021787,
small write          kbest:,0.000000808,
small write        average:,0.000000947,
small read          kbest:,0.000000322,
small read        average:,0.000000340,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000418,
small munmap          kbest:,0.000000744,
small munmap        average:,0.000000786,
small page fault          kbest:,0.000000627,
small page fault        average:,0.000000676,
 mid write          kbest:,0.000007070,
 mid write        average:,0.000007428,
  mid read          kbest:,0.000002918,
  mid read        average:,0.000003098,
  mid mmap          kbest:,0.000000384,
  mid mmap        average:,0.000000407,
mid munmap          kbest:,0.000003010,
mid munmap        average:,0.000003108,
mid page fault          kbest:,0.000001147,
mid page fault        average:,0.000001197,
 big write          kbest:,0.000793537,
 big write        average:,0.000820844,
  big read          kbest:,0.000367078,
  big read        average:,0.000376561,
  big mmap          kbest:,0.000000408,
  big mmap        average:,0.000000433,
big munmap          kbest:,0.000130090,
big munmap        average:,0.000134143,
big page fault          kbest:,0.000001678,
big page fault        average:,0.000001757,
huge write          kbest:,0.012718475,
huge write        average:,0.012882142,
 huge read          kbest:,0.019037272,
 huge read        average:,0.019556300,
 huge mmap          kbest:,0.000000403,
 huge mmap        average:,0.000000421,
huge munmap          kbest:,0.001619837,
huge munmap        average:,0.001648981,
huge page fault          kbest:,0.000001684,
huge page fault        average:,0.000001772,
    select          kbest:,0.000000618,
    select        average:,0.000000740,
      poll          kbest:,0.000000569,
      poll        average:,0.000000649,
     epoll          kbest:,0.000000786,
     epoll        average:,0.000000990,
select big          kbest:,0.000055594,
select big        average:,0.000063646,
  poll big          kbest:,0.000068791,
  poll big        average:,0.000078186,
 epoll big          kbest:,0.000093865,
 epoll big        average:,0.000110589,
