OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000030,
       cpu          kbest:,0.003084596,
       cpu        average:,0.003914105,
    getpid          kbest:,0.000000524,
    getpid        average:,0.000000617,
      send          kbest:,0.000000896,
      send        average:,0.000001963,
      recv          kbest:,0.000001181,
      recv        average:,0.000002120,
  big send          kbest:,0.000010996,
  big send        average:,0.000013314,
  big recv          kbest:,0.000020322,
  big recv        average:,0.000032084,
context siwtch          kbest:,0.000005463,
context siwtch        average:,0.000007047,
      fork          kbest:,0.000093377,
      fork       average:,0.000188618,
      fork    Child kbest:,0.000157860,
      fork Child average:,0.000318612,
thr create          kbest:,0.000011942,
thr create       average:,0.000026787,
thr create    Child kbest:,0.000017136,
thr create Child average:,0.000040780,
  big fork          kbest:,0.001889823,
  big fork       average:,0.002642156,
  big fork    Child kbest:,0.002019971,
  big fork Child average:,0.002808805,
 huge fork          kbest:,0.004472640,
 huge fork       average:,0.005933599,
 huge fork    Child kbest:,0.004673858,
 huge fork Child average:,0.006088416,
small write          kbest:,0.000001509,
small write        average:,0.000001814,
small read          kbest:,0.000000835,
small read        average:,0.000000879,
small mmap          kbest:,0.000000973,
small mmap        average:,0.000001007,
small munmap          kbest:,0.000001555,
small munmap        average:,0.000001602,
small page fault          kbest:,0.000001098,
small page fault        average:,0.000001144,
 mid write          kbest:,0.000007953,
 mid write        average:,0.000008252,
  mid read          kbest:,0.000003371,
  mid read        average:,0.000003582,
  mid mmap          kbest:,0.000000960,
  mid mmap        average:,0.000000996,
mid munmap          kbest:,0.000005362,
mid munmap        average:,0.000005508,
mid page fault          kbest:,0.000001691,
mid page fault        average:,0.000001735,
 big write          kbest:,0.000806749,
 big write        average:,0.000823853,
  big read          kbest:,0.000372982,
  big read        average:,0.000380868,
  big mmap          kbest:,0.000000985,
  big mmap        average:,0.000001034,
big munmap          kbest:,0.000134843,
big munmap        average:,0.000138243,
big page fault          kbest:,0.000002374,
big page fault        average:,0.000002653,
huge write          kbest:,0.013115989,
huge write        average:,0.013311824,
 huge read          kbest:,0.019568297,
 huge read        average:,0.019820421,
 huge mmap          kbest:,0.000000965,
 huge mmap        average:,0.000001015,
huge munmap          kbest:,0.001559397,
huge munmap        average:,0.001590947,
huge page fault          kbest:,0.000002372,
huge page fault        average:,0.000002700,
    select          kbest:,0.000001587,
    select        average:,0.000001718,
      poll          kbest:,0.000001542,
      poll        average:,0.000001689,
     epoll          kbest:,0.000001714,
     epoll        average:,0.000001826,
select big          kbest:,0.000115262,
select big        average:,0.000128599,
  poll big          kbest:,0.000125341,
  poll big        average:,0.000142318,
 epoll big          kbest:,0.000148656,
 epoll big        average:,0.000169173,
