OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084594,
       cpu        average:,0.003901987,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000540,
      send          kbest:,0.000000898,
      send        average:,0.000001975,
      recv          kbest:,0.000001184,
      recv        average:,0.000002112,
  big send          kbest:,0.000011152,
  big send        average:,0.000013103,
  big recv          kbest:,0.000021941,
  big recv        average:,0.000031938,
context siwtch          kbest:,0.000005470,
context siwtch        average:,0.000007000,
      fork          kbest:,0.000093593,
      fork       average:,0.000188567,
      fork    Child kbest:,0.000157214,
      fork Child average:,0.000318540,
thr create          kbest:,0.000012196,
thr create       average:,0.000026359,
thr create    Child kbest:,0.000016344,
thr create Child average:,0.000040378,
  big fork          kbest:,0.001847901,
  big fork       average:,0.002654736,
  big fork    Child kbest:,0.001997324,
  big fork Child average:,0.002819930,
 huge fork          kbest:,0.004557217,
 huge fork       average:,0.005927526,
 huge fork    Child kbest:,0.004744313,
 huge fork Child average:,0.006079417,
small write          kbest:,0.000001517,
small write        average:,0.000001836,
small read          kbest:,0.000000840,
small read        average:,0.000000876,
small mmap          kbest:,0.000000983,
small mmap        average:,0.000001031,
small munmap          kbest:,0.000001545,
small munmap        average:,0.000001591,
small page fault          kbest:,0.000001107,
small page fault        average:,0.000001159,
 mid write          kbest:,0.000007957,
 mid write        average:,0.000008255,
  mid read          kbest:,0.000003391,
  mid read        average:,0.000003603,
  mid mmap          kbest:,0.000000967,
  mid mmap        average:,0.000001013,
mid munmap          kbest:,0.000005333,
mid munmap        average:,0.000005480,
mid page fault          kbest:,0.000001705,
mid page fault        average:,0.000001749,
 big write          kbest:,0.000809811,
 big write        average:,0.000827537,
  big read          kbest:,0.000375274,
  big read        average:,0.000392985,
  big mmap          kbest:,0.000000966,
  big mmap        average:,0.000001002,
big munmap          kbest:,0.000132427,
big munmap        average:,0.000135477,
big page fault          kbest:,0.000002367,
big page fault        average:,0.000002678,
huge write          kbest:,0.013130900,
huge write        average:,0.013438292,
 huge read          kbest:,0.019469811,
 huge read        average:,0.019751666,
 huge mmap          kbest:,0.000000962,
 huge mmap        average:,0.000001004,
huge munmap          kbest:,0.001528877,
huge munmap        average:,0.001558043,
huge page fault          kbest:,0.000002372,
huge page fault        average:,0.000002675,
    select          kbest:,0.000001585,
    select        average:,0.000001730,
      poll          kbest:,0.000001549,
      poll        average:,0.000001734,
     epoll          kbest:,0.000001719,
     epoll        average:,0.000001867,
select big          kbest:,0.000114089,
select big        average:,0.000126884,
  poll big          kbest:,0.000125783,
  poll big        average:,0.000141489,
 epoll big          kbest:,0.000148914,
 epoll big        average:,0.000167416,
