OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003108030,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000079,
      send          kbest:,0.000000353,
      send        average:,0.000001107,
      recv          kbest:,0.000000481,
      recv        average:,0.000001434,
  big send          kbest:,0.000010717,
  big send        average:,0.000016658,
  big recv          kbest:,0.000016423,
  big recv        average:,0.000029165,
context siwtch          kbest:,0.000002898,
context siwtch        average:,0.000003724,
      fork          kbest:,0.000089503,
      fork       average:,0.000203373,
      fork    Child kbest:,0.000129810,
      fork Child average:,0.000306506,
thr create          kbest:,0.000007275,
thr create       average:,0.000019895,
thr create    Child kbest:,0.000011200,
thr create Child average:,0.000031103,
  big fork          kbest:,0.001587384,
  big fork       average:,0.002325264,
  big fork    Child kbest:,0.001711170,
  big fork Child average:,0.002522204,
 huge fork          kbest:,0.003740689,
 huge fork       average:,0.004991251,
 huge fork    Child kbest:,0.003788513,
 huge fork Child average:,0.005182326,
small write          kbest:,0.000000815,
small write        average:,0.000000982,
small read          kbest:,0.000000314,
small read        average:,0.000000341,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000465,
small munmap          kbest:,0.000000872,
small munmap        average:,0.000000922,
small page fault          kbest:,0.000000631,
small page fault        average:,0.000000664,
 mid write          kbest:,0.000007173,
 mid write        average:,0.000007522,
  mid read          kbest:,0.000002770,
  mid read        average:,0.000002932,
  mid mmap          kbest:,0.000000404,
  mid mmap        average:,0.000000450,
mid munmap          kbest:,0.000003375,
mid munmap        average:,0.000003536,
mid page fault          kbest:,0.000001171,
mid page fault        average:,0.000001221,
 big write          kbest:,0.000820361,
 big write        average:,0.000842607,
  big read          kbest:,0.000380321,
  big read        average:,0.000391443,
  big mmap          kbest:,0.000000432,
  big mmap        average:,0.000000460,
big munmap          kbest:,0.000140807,
big munmap        average:,0.000144769,
big page fault          kbest:,0.000001769,
big page fault        average:,0.000001855,
huge write          kbest:,0.012730000,
huge write        average:,0.012983152,
 huge read          kbest:,0.019189224,
 huge read        average:,0.019773745,
 huge mmap          kbest:,0.000000438,
 huge mmap        average:,0.000000472,
huge munmap          kbest:,0.001620306,
huge munmap        average:,0.001646998,
huge page fault          kbest:,0.000001759,
huge page fault        average:,0.000001846,
    select          kbest:,0.000000617,
    select        average:,0.000000705,
      poll          kbest:,0.000000556,
      poll        average:,0.000000673,
     epoll          kbest:,0.000000783,
     epoll        average:,0.000000902,
select big          kbest:,0.000051158,
select big        average:,0.000059235,
  poll big          kbest:,0.000064826,
  poll big        average:,0.000073023,
 epoll big          kbest:,0.000088033,
 epoll big        average:,0.000102489,
