OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003098266,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000079,
      send          kbest:,0.000000328,
      send        average:,0.000001152,
      recv          kbest:,0.000000475,
      recv        average:,0.000001587,
  big send          kbest:,0.000009799,
  big send        average:,0.000015339,
  big recv          kbest:,0.000015285,
  big recv        average:,0.000028272,
context siwtch          kbest:,0.000002888,
context siwtch        average:,0.000003721,
      fork          kbest:,0.000082021,
      fork       average:,0.000198670,
      fork    Child kbest:,0.000113667,
      fork Child average:,0.000298325,
thr create          kbest:,0.000007924,
thr create       average:,0.000019750,
thr create    Child kbest:,0.000010635,
thr create Child average:,0.000031826,
  big fork          kbest:,0.001627679,
  big fork       average:,0.002145310,
  big fork    Child kbest:,0.001617842,
  big fork Child average:,0.002343220,
 huge fork          kbest:,0.003598357,
 huge fork       average:,0.004799715,
 huge fork    Child kbest:,0.003689679,
 huge fork Child average:,0.004985714,
small write          kbest:,0.000000806,
small write        average:,0.000000976,
small read          kbest:,0.000000319,
small read        average:,0.000000353,
small mmap          kbest:,0.000000402,
small mmap        average:,0.000000426,
small munmap          kbest:,0.000000742,
small munmap        average:,0.000000790,
small page fault          kbest:,0.000000624,
small page fault        average:,0.000000695,
 mid write          kbest:,0.000007089,
 mid write        average:,0.000007421,
  mid read          kbest:,0.000002794,
  mid read        average:,0.000003024,
  mid mmap          kbest:,0.000000385,
  mid mmap        average:,0.000000415,
mid munmap          kbest:,0.000003007,
mid munmap        average:,0.000003093,
mid page fault          kbest:,0.000001144,
mid page fault        average:,0.000001196,
 big write          kbest:,0.000791446,
 big write        average:,0.000817814,
  big read          kbest:,0.000365220,
  big read        average:,0.000378268,
  big mmap          kbest:,0.000000411,
  big mmap        average:,0.000000431,
big munmap          kbest:,0.000130839,
big munmap        average:,0.000135062,
big page fault          kbest:,0.000001684,
big page fault        average:,0.000001767,
huge write          kbest:,0.012736709,
huge write        average:,0.012936132,
 huge read          kbest:,0.019004305,
 huge read        average:,0.019523634,
 huge mmap          kbest:,0.000000401,
 huge mmap        average:,0.000000456,
huge munmap          kbest:,0.001622241,
huge munmap        average:,0.001650873,
huge page fault          kbest:,0.000001676,
huge page fault        average:,0.000001735,
    select          kbest:,0.000000620,
    select        average:,0.000000751,
      poll          kbest:,0.000000560,
      poll        average:,0.000000623,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000924,
select big          kbest:,0.000056101,
select big        average:,0.000065141,
  poll big          kbest:,0.000069154,
  poll big        average:,0.000079368,
 epoll big          kbest:,0.000093576,
 epoll big        average:,0.000109365,
