OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003102753,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000079,
      send          kbest:,0.000000355,
      send        average:,0.000001080,
      recv          kbest:,0.000000480,
      recv        average:,0.000001441,
  big send          kbest:,0.000010123,
  big send        average:,0.000016193,
  big recv          kbest:,0.000016461,
  big recv        average:,0.000029055,
context siwtch          kbest:,0.000002906,
context siwtch        average:,0.000003731,
      fork          kbest:,0.000082672,
      fork       average:,0.000201770,
      fork    Child kbest:,0.000122187,
      fork Child average:,0.000304789,
thr create          kbest:,0.000007986,
thr create       average:,0.000021523,
thr create    Child kbest:,0.000011750,
thr create Child average:,0.000032775,
  big fork          kbest:,0.001773915,
  big fork       average:,0.002324785,
  big fork    Child kbest:,0.001706621,
  big fork Child average:,0.002523387,
 huge fork          kbest:,0.003563434,
 huge fork       average:,0.004963575,
 huge fork    Child kbest:,0.003607645,
 huge fork Child average:,0.005163855,
small write          kbest:,0.000000815,
small write        average:,0.000000972,
small read          kbest:,0.000000322,
small read        average:,0.000000363,
small mmap          kbest:,0.000000425,
small mmap        average:,0.000000457,
small munmap          kbest:,0.000000870,
small munmap        average:,0.000000910,
small page fault          kbest:,0.000000627,
small page fault        average:,0.000000658,
 mid write          kbest:,0.000007159,
 mid write        average:,0.000007475,
  mid read          kbest:,0.000002771,
  mid read        average:,0.000003046,
  mid mmap          kbest:,0.000000413,
  mid mmap        average:,0.000000446,
mid munmap          kbest:,0.000003357,
mid munmap        average:,0.000003492,
mid page fault          kbest:,0.000001177,
mid page fault        average:,0.000001220,
 big write          kbest:,0.000821575,
 big write        average:,0.000844145,
  big read          kbest:,0.000383964,
  big read        average:,0.000399996,
  big mmap          kbest:,0.000000438,
  big mmap        average:,0.000000481,
big munmap          kbest:,0.000140415,
big munmap        average:,0.000145459,
big page fault          kbest:,0.000001774,
big page fault        average:,0.000001870,
huge write          kbest:,0.012740355,
huge write        average:,0.012980169,
 huge read          kbest:,0.019224809,
 huge read        average:,0.019777826,
 huge mmap          kbest:,0.000000444,
 huge mmap        average:,0.000000500,
huge munmap          kbest:,0.001607486,
huge munmap        average:,0.001634287,
huge page fault          kbest:,0.000001763,
huge page fault        average:,0.000001832,
    select          kbest:,0.000000622,
    select        average:,0.000000739,
      poll          kbest:,0.000000555,
      poll        average:,0.000000627,
     epoll          kbest:,0.000000773,
     epoll        average:,0.000000905,
select big          kbest:,0.000051665,
select big        average:,0.000058036,
  poll big          kbest:,0.000065308,
  poll big        average:,0.000074299,
 epoll big          kbest:,0.000089203,
 epoll big        average:,0.000101853,
