OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003115639,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000360,
      send        average:,0.000001356,
      recv          kbest:,0.000000481,
      recv        average:,0.000001476,
  big send          kbest:,0.000010239,
  big send        average:,0.000016033,
  big recv          kbest:,0.000016135,
  big recv        average:,0.000029055,
context siwtch          kbest:,0.000002894,
context siwtch        average:,0.000003725,
      fork          kbest:,0.000084254,
      fork       average:,0.000205074,
      fork    Child kbest:,0.000117972,
      fork Child average:,0.000303834,
thr create          kbest:,0.000007983,
thr create       average:,0.000021599,
thr create    Child kbest:,0.000011710,
thr create Child average:,0.000033128,
  big fork          kbest:,0.001830756,
  big fork       average:,0.002349812,
  big fork    Child kbest:,0.001864207,
  big fork Child average:,0.002541344,
 huge fork          kbest:,0.003637343,
 huge fork       average:,0.004999219,
 huge fork    Child kbest:,0.003727993,
 huge fork Child average:,0.005180490,
small write          kbest:,0.000000820,
small write        average:,0.000000984,
small read          kbest:,0.000000314,
small read        average:,0.000000343,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000467,
small munmap          kbest:,0.000000862,
small munmap        average:,0.000000906,
small page fault          kbest:,0.000000640,
small page fault        average:,0.000000685,
 mid write          kbest:,0.000007093,
 mid write        average:,0.000007465,
  mid read          kbest:,0.000002750,
  mid read        average:,0.000002963,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000431,
mid munmap          kbest:,0.000003354,
mid munmap        average:,0.000003499,
mid page fault          kbest:,0.000000640,
mid page fault        average:,0.000000708,
 big write          kbest:,0.000789591,
 big write        average:,0.000816594,
  big read          kbest:,0.000358730,
  big read        average:,0.000369104,
  big mmap          kbest:,0.000000436,
  big mmap        average:,0.000000470,
big munmap          kbest:,0.000138754,
big munmap        average:,0.000142501,
big page fault          kbest:,0.000000864,
big page fault        average:,0.000000910,
huge write          kbest:,0.012718619,
huge write        average:,0.012910989,
 huge read          kbest:,0.019159538,
 huge read        average:,0.019756170,
 huge mmap          kbest:,0.000000443,
 huge mmap        average:,0.000000483,
huge munmap          kbest:,0.001514458,
huge munmap        average:,0.001541183,
huge page fault          kbest:,0.000000862,
huge page fault        average:,0.000000908,
    select          kbest:,0.000000623,
    select        average:,0.000000673,
      poll          kbest:,0.000000559,
      poll        average:,0.000000622,
     epoll          kbest:,0.000000769,
     epoll        average:,0.000000895,
select big          kbest:,0.000051907,
select big        average:,0.000058619,
  poll big          kbest:,0.000064434,
  poll big        average:,0.000072744,
 epoll big          kbest:,0.000088387,
 epoll big        average:,0.000101243,
