OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000054,
       cpu          kbest:,0.003084593,
       cpu        average:,0.003611382,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000540,
      send          kbest:,0.000000894,
      send        average:,0.000001897,
      recv          kbest:,0.000001181,
      recv        average:,0.000002100,
  big send          kbest:,0.000010741,
  big send        average:,0.000013316,
  big recv          kbest:,0.000025185,
  big recv        average:,0.000031974,
context siwtch          kbest:,0.000005489,
context siwtch        average:,0.000007013,
      fork          kbest:,0.000093168,
      fork       average:,0.000187458,
      fork    Child kbest:,0.000158153,
      fork Child average:,0.000319149,
thr create          kbest:,0.000011803,
thr create       average:,0.000026269,
thr create    Child kbest:,0.000016257,
thr create Child average:,0.000040738,
  big fork          kbest:,0.001857600,
  big fork       average:,0.002640557,
  big fork    Child kbest:,0.002022566,
  big fork Child average:,0.002806073,
 huge fork          kbest:,0.004453918,
 huge fork       average:,0.005915110,
 huge fork    Child kbest:,0.004638306,
 huge fork Child average:,0.006068399,
small write          kbest:,0.000001536,
small write        average:,0.000001840,
small read          kbest:,0.000000836,
small read        average:,0.000000866,
small mmap          kbest:,0.000000977,
small mmap        average:,0.000001021,
small munmap          kbest:,0.000001574,
small munmap        average:,0.000001618,
small page fault          kbest:,0.000001105,
small page fault        average:,0.000001161,
 mid write          kbest:,0.000008001,
 mid write        average:,0.000008365,
  mid read          kbest:,0.000003368,
  mid read        average:,0.000003584,
  mid mmap          kbest:,0.000000962,
  mid mmap        average:,0.000001004,
mid munmap          kbest:,0.000005363,
mid munmap        average:,0.000005552,
mid page fault          kbest:,0.000001688,
mid page fault        average:,0.000001755,
 big write          kbest:,0.000808378,
 big write        average:,0.000827538,
  big read          kbest:,0.000374399,
  big read        average:,0.000383203,
  big mmap          kbest:,0.000000991,
  big mmap        average:,0.000001033,
big munmap          kbest:,0.000134424,
big munmap        average:,0.000138970,
big page fault          kbest:,0.000002377,
big page fault        average:,0.000002660,
huge write          kbest:,0.013146040,
huge write        average:,0.013389201,
 huge read          kbest:,0.019516117,
 huge read        average:,0.019828552,
 huge mmap          kbest:,0.000000967,
 huge mmap        average:,0.000001014,
huge munmap          kbest:,0.001537504,
huge munmap        average:,0.001563326,
huge page fault          kbest:,0.000002386,
huge page fault        average:,0.000002785,
    select          kbest:,0.000001621,
    select        average:,0.000001909,
      poll          kbest:,0.000001551,
      poll        average:,0.000001667,
     epoll          kbest:,0.000001721,
     epoll        average:,0.000001855,
select big          kbest:,0.000114463,
select big        average:,0.000127209,
  poll big          kbest:,0.000126349,
  poll big        average:,0.000140144,
 epoll big          kbest:,0.000149022,
 epoll big        average:,0.000167153,
