OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000030,
       cpu          kbest:,0.003084597,
       cpu        average:,0.003896201,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000539,
      send          kbest:,0.000000899,
      send        average:,0.000001989,
      recv          kbest:,0.000001179,
      recv        average:,0.000002129,
  big send          kbest:,0.000011200,
  big send        average:,0.000013396,
  big recv          kbest:,0.000019937,
  big recv        average:,0.000031853,
context siwtch          kbest:,0.000005493,
context siwtch        average:,0.000007091,
      fork          kbest:,0.000091371,
      fork       average:,0.000188611,
      fork    Child kbest:,0.000161534,
      fork Child average:,0.000323818,
thr create          kbest:,0.000011575,
thr create       average:,0.000026293,
thr create    Child kbest:,0.000016162,
thr create Child average:,0.000040264,
  big fork          kbest:,0.001720697,
  big fork       average:,0.002641997,
  big fork    Child kbest:,0.001913149,
  big fork Child average:,0.002805404,
 huge fork          kbest:,0.004657428,
 huge fork       average:,0.005914858,
 huge fork    Child kbest:,0.004793287,
 huge fork Child average:,0.006064705,
small write          kbest:,0.000001505,
small write        average:,0.000001775,
small read          kbest:,0.000000837,
small read        average:,0.000000873,
small mmap          kbest:,0.000000975,
small mmap        average:,0.000001028,
small munmap          kbest:,0.000001553,
small munmap        average:,0.000001616,
small page fault          kbest:,0.000001098,
small page fault        average:,0.000001132,
 mid write          kbest:,0.000007924,
 mid write        average:,0.000008198,
  mid read          kbest:,0.000003348,
  mid read        average:,0.000003582,
  mid mmap          kbest:,0.000000959,
  mid mmap        average:,0.000000993,
mid munmap          kbest:,0.000005342,
mid munmap        average:,0.000005518,
mid page fault          kbest:,0.000001702,
mid page fault        average:,0.000001758,
 big write          kbest:,0.000811214,
 big write        average:,0.000833306,
  big read          kbest:,0.000378327,
  big read        average:,0.000385883,
  big mmap          kbest:,0.000000981,
  big mmap        average:,0.000001050,
big munmap          kbest:,0.000133401,
big munmap        average:,0.000137814,
big page fault          kbest:,0.000002375,
big page fault        average:,0.000002686,
huge write          kbest:,0.013222137,
huge write        average:,0.013387526,
 huge read          kbest:,0.019715132,
 huge read        average:,0.019987252,
 huge mmap          kbest:,0.000000962,
 huge mmap        average:,0.000001012,
huge munmap          kbest:,0.001607779,
huge munmap        average:,0.001635960,
huge page fault          kbest:,0.000002671,
huge page fault        average:,0.000003276,
    select          kbest:,0.000001591,
    select        average:,0.000001727,
      poll          kbest:,0.000001545,
      poll        average:,0.000001658,
     epoll          kbest:,0.000001722,
     epoll        average:,0.000001855,
select big          kbest:,0.000114181,
select big        average:,0.000128964,
  poll big          kbest:,0.000125777,
  poll big        average:,0.000139628,
 epoll big          kbest:,0.000149374,
 epoll big        average:,0.000166653,
