OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003106614,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000079,
      send          kbest:,0.000000356,
      send        average:,0.000001192,
      recv          kbest:,0.000000485,
      recv        average:,0.000001475,
  big send          kbest:,0.000010268,
  big send        average:,0.000016782,
  big recv          kbest:,0.000015972,
  big recv        average:,0.000028809,
context siwtch          kbest:,0.000002919,
context siwtch        average:,0.000003754,
      fork          kbest:,0.000084850,
      fork       average:,0.000202217,
      fork    Child kbest:,0.000118343,
      fork Child average:,0.000298711,
thr create          kbest:,0.000008675,
thr create       average:,0.000021526,
thr create    Child kbest:,0.000011718,
thr create Child average:,0.000033360,
  big fork          kbest:,0.001820628,
  big fork       average:,0.002356360,
  big fork    Child kbest:,0.001839465,
  big fork Child average:,0.002546225,
 huge fork          kbest:,0.003729687,
 huge fork       average:,0.005030763,
 huge fork    Child kbest:,0.003831909,
 huge fork Child average:,0.005210997,
small write          kbest:,0.000000816,
small write        average:,0.000000975,
small read          kbest:,0.000000315,
small read        average:,0.000000343,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000465,
small munmap          kbest:,0.000000873,
small munmap        average:,0.000000922,
small page fault          kbest:,0.000000640,
small page fault        average:,0.000000684,
 mid write          kbest:,0.000007050,
 mid write        average:,0.000007410,
  mid read          kbest:,0.000002765,
  mid read        average:,0.000002967,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000444,
mid munmap          kbest:,0.000003366,
mid munmap        average:,0.000003523,
mid page fault          kbest:,0.000000647,
mid page fault        average:,0.000000676,
 big write          kbest:,0.000783950,
 big write        average:,0.000810230,
  big read          kbest:,0.000355996,
  big read        average:,0.000369322,
  big mmap          kbest:,0.000000434,
  big mmap        average:,0.000000482,
big munmap          kbest:,0.000139369,
big munmap        average:,0.000143032,
big page fault          kbest:,0.000000861,
big page fault        average:,0.000000909,
huge write          kbest:,0.012740356,
huge write        average:,0.012891384,
 huge read          kbest:,0.019150550,
 huge read        average:,0.019739188,
 huge mmap          kbest:,0.000000424,
 huge mmap        average:,0.000000451,
huge munmap          kbest:,0.001506637,
huge munmap        average:,0.001530760,
huge page fault          kbest:,0.000000863,
huge page fault        average:,0.000000906,
    select          kbest:,0.000000623,
    select        average:,0.000000721,
      poll          kbest:,0.000000568,
      poll        average:,0.000000670,
     epoll          kbest:,0.000000783,
     epoll        average:,0.000000941,
select big          kbest:,0.000051501,
select big        average:,0.000058368,
  poll big          kbest:,0.000064399,
  poll big        average:,0.000072028,
 epoll big          kbest:,0.000088744,
 epoll big        average:,0.000102909,
