OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000035,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003117008,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000083,
      send          kbest:,0.000000328,
      send        average:,0.000001152,
      recv          kbest:,0.000000475,
      recv        average:,0.000001625,
  big send          kbest:,0.000010611,
  big send        average:,0.000015117,
  big recv          kbest:,0.000015103,
  big recv        average:,0.000027885,
context siwtch          kbest:,0.000002873,
context siwtch        average:,0.000003712,
      fork          kbest:,0.000085548,
      fork       average:,0.000198191,
      fork    Child kbest:,0.000115647,
      fork Child average:,0.000295863,
thr create          kbest:,0.000008046,
thr create       average:,0.000019927,
thr create    Child kbest:,0.000012096,
thr create Child average:,0.000031592,
  big fork          kbest:,0.001612143,
  big fork       average:,0.002135611,
  big fork    Child kbest:,0.001671481,
  big fork Child average:,0.002333641,
 huge fork          kbest:,0.003543905,
 huge fork       average:,0.004768690,
 huge fork    Child kbest:,0.003630677,
 huge fork Child average:,0.004963009,
small write          kbest:,0.000000810,
small write        average:,0.000000975,
small read          kbest:,0.000000318,
small read        average:,0.000000347,
small mmap          kbest:,0.000000400,
small mmap        average:,0.000000434,
small munmap          kbest:,0.000000744,
small munmap        average:,0.000000794,
small page fault          kbest:,0.000000627,
small page fault        average:,0.000000672,
 mid write          kbest:,0.000007068,
 mid write        average:,0.000007477,
  mid read          kbest:,0.000002792,
  mid read        average:,0.000002958,
  mid mmap          kbest:,0.000000385,
  mid mmap        average:,0.000000406,
mid munmap          kbest:,0.000003005,
mid munmap        average:,0.000003118,
mid page fault          kbest:,0.000001153,
mid page fault        average:,0.000001187,
 big write          kbest:,0.000791910,
 big write        average:,0.000815339,
  big read          kbest:,0.000368931,
  big read        average:,0.000378172,
  big mmap          kbest:,0.000000387,
  big mmap        average:,0.000000416,
big munmap          kbest:,0.000130608,
big munmap        average:,0.000135225,
big page fault          kbest:,0.000001683,
big page fault        average:,0.000001780,
huge write          kbest:,0.012826179,
huge write        average:,0.012968838,
 huge read          kbest:,0.018972950,
 huge read        average:,0.019503535,
 huge mmap          kbest:,0.000000381,
 huge mmap        average:,0.000000405,
huge munmap          kbest:,0.001631957,
huge munmap        average:,0.001663515,
huge page fault          kbest:,0.000001678,
huge page fault        average:,0.000001745,
    select          kbest:,0.000000619,
    select        average:,0.000000712,
      poll          kbest:,0.000000579,
      poll        average:,0.000000717,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000931,
select big          kbest:,0.000055881,
select big        average:,0.000064164,
  poll big          kbest:,0.000070272,
  poll big        average:,0.000080236,
 epoll big          kbest:,0.000094136,
 epoll big        average:,0.000110529,
