OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003104881,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000083,
      send          kbest:,0.000000327,
      send        average:,0.000001080,
      recv          kbest:,0.000000477,
      recv        average:,0.000001606,
  big send          kbest:,0.000009432,
  big send        average:,0.000015917,
  big recv          kbest:,0.000014937,
  big recv        average:,0.000028504,
context siwtch          kbest:,0.000002894,
context siwtch        average:,0.000003720,
      fork          kbest:,0.000083865,
      fork       average:,0.000198364,
      fork    Child kbest:,0.000108816,
      fork Child average:,0.000296059,
thr create          kbest:,0.000008367,
thr create       average:,0.000019779,
thr create    Child kbest:,0.000011010,
thr create Child average:,0.000031641,
  big fork          kbest:,0.001650076,
  big fork       average:,0.002121038,
  big fork    Child kbest:,0.001685571,
  big fork Child average:,0.002319154,
 huge fork          kbest:,0.003187516,
 huge fork       average:,0.004746785,
 huge fork    Child kbest:,0.003586477,
 huge fork Child average:,0.004938922,
small write          kbest:,0.000000808,
small write        average:,0.000000923,
small read          kbest:,0.000000322,
small read        average:,0.000000337,
small mmap          kbest:,0.000000400,
small mmap        average:,0.000000441,
small munmap          kbest:,0.000000741,
small munmap        average:,0.000000802,
small page fault          kbest:,0.000000624,
small page fault        average:,0.000000676,
 mid write          kbest:,0.000007030,
 mid write        average:,0.000007407,
  mid read          kbest:,0.000002778,
  mid read        average:,0.000002999,
  mid mmap          kbest:,0.000000384,
  mid mmap        average:,0.000000412,
mid munmap          kbest:,0.000003004,
mid munmap        average:,0.000003101,
mid page fault          kbest:,0.000001145,
mid page fault        average:,0.000001181,
 big write          kbest:,0.000800490,
 big write        average:,0.000825524,
  big read          kbest:,0.000378338,
  big read        average:,0.000393316,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000428,
big munmap          kbest:,0.000130607,
big munmap        average:,0.000133900,
big page fault          kbest:,0.000001681,
big page fault        average:,0.000001752,
huge write          kbest:,0.012714853,
huge write        average:,0.012889528,
 huge read          kbest:,0.018922084,
 huge read        average:,0.019337951,
 huge mmap          kbest:,0.000000414,
 huge mmap        average:,0.000000440,
huge munmap          kbest:,0.001633191,
huge munmap        average:,0.001658285,
huge page fault          kbest:,0.000001846,
huge page fault        average:,0.000001932,
    select          kbest:,0.000000620,
    select        average:,0.000000716,
      poll          kbest:,0.000000559,
      poll        average:,0.000000613,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000938,
select big          kbest:,0.000056183,
select big        average:,0.000063733,
  poll big          kbest:,0.000069545,
  poll big        average:,0.000078127,
 epoll big          kbest:,0.000094006,
 epoll big        average:,0.000108511,
