OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084587,
       cpu        average:,0.003100067,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000365,
      send        average:,0.000001261,
      recv          kbest:,0.000000481,
      recv        average:,0.000001471,
  big send          kbest:,0.000010125,
  big send        average:,0.000016033,
  big recv          kbest:,0.000016225,
  big recv        average:,0.000029382,
context siwtch          kbest:,0.000002922,
context siwtch        average:,0.000003746,
      fork          kbest:,0.000085391,
      fork       average:,0.000202498,
      fork    Child kbest:,0.000118581,
      fork Child average:,0.000298928,
thr create          kbest:,0.000008233,
thr create       average:,0.000020675,
thr create    Child kbest:,0.000010893,
thr create Child average:,0.000032340,
  big fork          kbest:,0.001665728,
  big fork       average:,0.002322241,
  big fork    Child kbest:,0.001793437,
  big fork Child average:,0.002513731,
 huge fork          kbest:,0.003688544,
 huge fork       average:,0.005011509,
 huge fork    Child kbest:,0.003542963,
 huge fork Child average:,0.005187866,
small write          kbest:,0.000000812,
small write        average:,0.000000950,
small read          kbest:,0.000000315,
small read        average:,0.000000350,
small mmap          kbest:,0.000000447,
small mmap        average:,0.000000496,
small munmap          kbest:,0.000000880,
small munmap        average:,0.000000921,
small page fault          kbest:,0.000000639,
small page fault        average:,0.000000680,
 mid write          kbest:,0.000007157,
 mid write        average:,0.000007510,
  mid read          kbest:,0.000002768,
  mid read        average:,0.000003004,
  mid mmap          kbest:,0.000000431,
  mid mmap        average:,0.000000476,
mid munmap          kbest:,0.000003351,
mid munmap        average:,0.000003546,
mid page fault          kbest:,0.000000638,
mid page fault        average:,0.000000668,
 big write          kbest:,0.000803316,
 big write        average:,0.000828578,
  big read          kbest:,0.000374290,
  big read        average:,0.000387239,
  big mmap          kbest:,0.000000431,
  big mmap        average:,0.000000468,
big munmap          kbest:,0.000139741,
big munmap        average:,0.000143102,
big page fault          kbest:,0.000000860,
big page fault        average:,0.000000921,
huge write          kbest:,0.012729505,
huge write        average:,0.012990621,
 huge read          kbest:,0.019075833,
 huge read        average:,0.019710704,
 huge mmap          kbest:,0.000000413,
 huge mmap        average:,0.000000459,
huge munmap          kbest:,0.001478526,
huge munmap        average:,0.001503914,
huge page fault          kbest:,0.000000857,
huge page fault        average:,0.000000914,
    select          kbest:,0.000000619,
    select        average:,0.000000698,
      poll          kbest:,0.000000559,
      poll        average:,0.000000671,
     epoll          kbest:,0.000000782,
     epoll        average:,0.000000949,
select big          kbest:,0.000051525,
select big        average:,0.000059178,
  poll big          kbest:,0.000064304,
  poll big        average:,0.000072679,
 epoll big          kbest:,0.000088350,
 epoll big        average:,0.000102199,
