OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000031,
       cpu          kbest:,0.003084588,
       cpu        average:,0.003370686,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000352,
      send        average:,0.000001208,
      recv          kbest:,0.000000483,
      recv        average:,0.000001453,
  big send          kbest:,0.000010124,
  big send        average:,0.000015860,
  big recv          kbest:,0.000016110,
  big recv        average:,0.000028754,
context siwtch          kbest:,0.000002894,
context siwtch        average:,0.000003720,
      fork          kbest:,0.000085700,
      fork       average:,0.000199639,
      fork    Child kbest:,0.000123705,
      fork Child average:,0.000295574,
thr create          kbest:,0.000008151,
thr create       average:,0.000021030,
thr create    Child kbest:,0.000011201,
thr create Child average:,0.000032763,
  big fork          kbest:,0.001794165,
  big fork       average:,0.002339559,
  big fork    Child kbest:,0.001822684,
  big fork Child average:,0.002535498,
 huge fork          kbest:,0.003686972,
 huge fork       average:,0.005018912,
 huge fork    Child kbest:,0.003810837,
 huge fork Child average:,0.005203708,
small write          kbest:,0.000000805,
small write        average:,0.000000957,
small read          kbest:,0.000000314,
small read        average:,0.000000343,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000470,
small munmap          kbest:,0.000000866,
small munmap        average:,0.000000925,
small page fault          kbest:,0.000000646,
small page fault        average:,0.000000675,
 mid write          kbest:,0.000007084,
 mid write        average:,0.000007444,
  mid read          kbest:,0.000002772,
  mid read        average:,0.000002989,
  mid mmap          kbest:,0.000000406,
  mid mmap        average:,0.000000439,
mid munmap          kbest:,0.000003359,
mid munmap        average:,0.000003492,
mid page fault          kbest:,0.000000646,
mid page fault        average:,0.000000689,
 big write          kbest:,0.000791286,
 big write        average:,0.000817224,
  big read          kbest:,0.000365296,
  big read        average:,0.000376765,
  big mmap          kbest:,0.000000433,
  big mmap        average:,0.000000470,
big munmap          kbest:,0.000140548,
big munmap        average:,0.000143372,
big page fault          kbest:,0.000000868,
big page fault        average:,0.000000925,
huge write          kbest:,0.012732389,
huge write        average:,0.012867268,
 huge read          kbest:,0.019186671,
 huge read        average:,0.019780418,
 huge mmap          kbest:,0.000000439,
 huge mmap        average:,0.000000478,
huge munmap          kbest:,0.001527905,
huge munmap        average:,0.001557614,
huge page fault          kbest:,0.000000865,
huge page fault        average:,0.000000925,
    select          kbest:,0.000000623,
    select        average:,0.000000707,
      poll          kbest:,0.000000562,
      poll        average:,0.000000653,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000896,
select big          kbest:,0.000051700,
select big        average:,0.000058700,
  poll big          kbest:,0.000064595,
  poll big        average:,0.000072143,
 epoll big          kbest:,0.000088866,
 epoll big        average:,0.000101388,
