OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084593,
       cpu        average:,0.003112433,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000359,
      send        average:,0.000001323,
      recv          kbest:,0.000000597,
      recv        average:,0.000001435,
  big send          kbest:,0.000010070,
  big send        average:,0.000016594,
  big recv          kbest:,0.000016388,
  big recv        average:,0.000029035,
context siwtch          kbest:,0.000002903,
context siwtch        average:,0.000003736,
      fork          kbest:,0.000089385,
      fork       average:,0.000198234,
      fork    Child kbest:,0.000126402,
      fork Child average:,0.000300855,
thr create          kbest:,0.000009016,
thr create       average:,0.000021020,
thr create    Child kbest:,0.000011953,
thr create Child average:,0.000032563,
  big fork          kbest:,0.001742975,
  big fork       average:,0.002320258,
  big fork    Child kbest:,0.001725518,
  big fork Child average:,0.002513005,
 huge fork          kbest:,0.003430560,
 huge fork       average:,0.004935566,
 huge fork    Child kbest:,0.003750051,
 huge fork Child average:,0.005124084,
small write          kbest:,0.000000813,
small write        average:,0.000000947,
small read          kbest:,0.000000313,
small read        average:,0.000000337,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000467,
small munmap          kbest:,0.000000863,
small munmap        average:,0.000000903,
small page fault          kbest:,0.000000628,
small page fault        average:,0.000000671,
 mid write          kbest:,0.000007141,
 mid write        average:,0.000007470,
  mid read          kbest:,0.000002765,
  mid read        average:,0.000002974,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000447,
mid munmap          kbest:,0.000003380,
mid munmap        average:,0.000003557,
mid page fault          kbest:,0.000001175,
mid page fault        average:,0.000001256,
 big write          kbest:,0.000810692,
 big write        average:,0.000839374,
  big read          kbest:,0.000378665,
  big read        average:,0.000392734,
  big mmap          kbest:,0.000000432,
  big mmap        average:,0.000000480,
big munmap          kbest:,0.000139383,
big munmap        average:,0.000143426,
big page fault          kbest:,0.000001756,
big page fault        average:,0.000001843,
huge write          kbest:,0.012746385,
huge write        average:,0.012964662,
 huge read          kbest:,0.019356801,
 huge read        average:,0.019841237,
 huge mmap          kbest:,0.000000439,
 huge mmap        average:,0.000000475,
huge munmap          kbest:,0.001581511,
huge munmap        average:,0.001609446,
huge page fault          kbest:,0.000001751,
huge page fault        average:,0.000001824,
    select          kbest:,0.000000624,
    select        average:,0.000000685,
      poll          kbest:,0.000000560,
      poll        average:,0.000000636,
     epoll          kbest:,0.000000782,
     epoll        average:,0.000000871,
select big          kbest:,0.000051491,
select big        average:,0.000059398,
  poll big          kbest:,0.000065233,
  poll big        average:,0.000072364,
 epoll big          kbest:,0.000088413,
 epoll big        average:,0.000101944,
