OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003120540,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000081,
      send          kbest:,0.000000322,
      send        average:,0.000001164,
      recv          kbest:,0.000000473,
      recv        average:,0.000001618,
  big send          kbest:,0.000009751,
  big send        average:,0.000015580,
  big recv          kbest:,0.000015050,
  big recv        average:,0.000028383,
context siwtch          kbest:,0.000002899,
context siwtch        average:,0.000003737,
      fork          kbest:,0.000082485,
      fork       average:,0.000198549,
      fork    Child kbest:,0.000107380,
      fork Child average:,0.000298351,
thr create          kbest:,0.000008079,
thr create       average:,0.000019540,
thr create    Child kbest:,0.000011554,
thr create Child average:,0.000031344,
  big fork          kbest:,0.001627518,
  big fork       average:,0.002153467,
  big fork    Child kbest:,0.001713247,
  big fork Child average:,0.002355093,
 huge fork          kbest:,0.003522428,
 huge fork       average:,0.004830228,
 huge fork    Child kbest:,0.003662740,
 huge fork Child average:,0.005021425,
small write          kbest:,0.000000828,
small write        average:,0.000000995,
small read          kbest:,0.000000321,
small read        average:,0.000000353,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000429,
small munmap          kbest:,0.000000744,
small munmap        average:,0.000000795,
small page fault          kbest:,0.000000626,
small page fault        average:,0.000000652,
 mid write          kbest:,0.000007060,
 mid write        average:,0.000007372,
  mid read          kbest:,0.000002785,
  mid read        average:,0.000002983,
  mid mmap          kbest:,0.000000385,
  mid mmap        average:,0.000000423,
mid munmap          kbest:,0.000002998,
mid munmap        average:,0.000003107,
mid page fault          kbest:,0.000001147,
mid page fault        average:,0.000001203,
 big write          kbest:,0.000794291,
 big write        average:,0.000816164,
  big read          kbest:,0.000372708,
  big read        average:,0.000383146,
  big mmap          kbest:,0.000000409,
  big mmap        average:,0.000000437,
big munmap          kbest:,0.000130132,
big munmap        average:,0.000135356,
big page fault          kbest:,0.000001673,
big page fault        average:,0.000001766,
huge write          kbest:,0.012806548,
huge write        average:,0.012949095,
 huge read          kbest:,0.019049199,
 huge read        average:,0.019538426,
 huge mmap          kbest:,0.000000417,
 huge mmap        average:,0.000000440,
huge munmap          kbest:,0.001619508,
huge munmap        average:,0.001645545,
huge page fault          kbest:,0.000001674,
huge page fault        average:,0.000001746,
    select          kbest:,0.000000619,
    select        average:,0.000000712,
      poll          kbest:,0.000000564,
      poll        average:,0.000000669,
     epoll          kbest:,0.000000782,
     epoll        average:,0.000000945,
select big          kbest:,0.000056010,
select big        average:,0.000064663,
  poll big          kbest:,0.000069327,
  poll big        average:,0.000079111,
 epoll big          kbest:,0.000094043,
 epoll big        average:,0.000110128,
