OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000052,
       cpu          kbest:,0.003084596,
       cpu        average:,0.003601967,
    getpid          kbest:,0.000000528,
    getpid        average:,0.000000538,
      send          kbest:,0.000000905,
      send        average:,0.000001975,
      recv          kbest:,0.000001180,
      recv        average:,0.000002121,
  big send          kbest:,0.000010954,
  big send        average:,0.000013336,
  big recv          kbest:,0.000020389,
  big recv        average:,0.000032119,
context siwtch          kbest:,0.000005478,
context siwtch        average:,0.000007185,
      fork          kbest:,0.000086121,
      fork       average:,0.000187132,
      fork    Child kbest:,0.000156139,
      fork Child average:,0.000318994,
thr create          kbest:,0.000011710,
thr create       average:,0.000026625,
thr create    Child kbest:,0.000016549,
thr create Child average:,0.000040972,
  big fork          kbest:,0.001664434,
  big fork       average:,0.002641495,
  big fork    Child kbest:,0.001921491,
  big fork Child average:,0.002797153,
 huge fork          kbest:,0.004506495,
 huge fork       average:,0.005933011,
 huge fork    Child kbest:,0.004656707,
 huge fork Child average:,0.006075241,
small write          kbest:,0.000001502,
small write        average:,0.000001781,
small read          kbest:,0.000000835,
small read        average:,0.000000888,
small mmap          kbest:,0.000000979,
small mmap        average:,0.000001029,
small munmap          kbest:,0.000001543,
small munmap        average:,0.000001592,
small page fault          kbest:,0.000001102,
small page fault        average:,0.000001142,
 mid write          kbest:,0.000007956,
 mid write        average:,0.000008192,
  mid read          kbest:,0.000003348,
  mid read        average:,0.000003568,
  mid mmap          kbest:,0.000000965,
  mid mmap        average:,0.000001007,
mid munmap          kbest:,0.000005329,
mid munmap        average:,0.000005501,
mid page fault          kbest:,0.000001698,
mid page fault        average:,0.000001759,
 big write          kbest:,0.000800432,
 big write        average:,0.000821195,
  big read          kbest:,0.000369149,
  big read        average:,0.000381965,
  big mmap          kbest:,0.000000968,
  big mmap        average:,0.000001014,
big munmap          kbest:,0.000133024,
big munmap        average:,0.000135992,
big page fault          kbest:,0.000002378,
big page fault        average:,0.000002708,
huge write          kbest:,0.013159065,
huge write        average:,0.013410357,
 huge read          kbest:,0.019637482,
 huge read        average:,0.019858791,
 huge mmap          kbest:,0.000000956,
 huge mmap        average:,0.000000996,
huge munmap          kbest:,0.001538823,
huge munmap        average:,0.001565109,
huge page fault          kbest:,0.000002381,
huge page fault        average:,0.000002668,
    select          kbest:,0.000001581,
    select        average:,0.000001821,
      poll          kbest:,0.000001538,
      poll        average:,0.000001679,
     epoll          kbest:,0.000001708,
     epoll        average:,0.000001921,
select big          kbest:,0.000114902,
select big        average:,0.000128790,
  poll big          kbest:,0.000126739,
  poll big        average:,0.000139597,
 epoll big          kbest:,0.000149263,
 epoll big        average:,0.000168774,
