OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084597,
       cpu        average:,0.003104033,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
      send          kbest:,0.000000359,
      send        average:,0.000001210,
      recv          kbest:,0.000000481,
      recv        average:,0.000001411,
  big send          kbest:,0.000010137,
  big send        average:,0.000015940,
  big recv          kbest:,0.000016456,
  big recv        average:,0.000028746,
context siwtch          kbest:,0.000002897,
context siwtch        average:,0.000003724,
      fork          kbest:,0.000088408,
      fork       average:,0.000199951,
      fork    Child kbest:,0.000120638,
      fork Child average:,0.000303812,
thr create          kbest:,0.000008337,
thr create       average:,0.000021231,
thr create    Child kbest:,0.000011649,
thr create Child average:,0.000032825,
  big fork          kbest:,0.001732915,
  big fork       average:,0.002303013,
  big fork    Child kbest:,0.001718460,
  big fork Child average:,0.002500086,
 huge fork          kbest:,0.003561405,
 huge fork       average:,0.004940665,
 huge fork    Child kbest:,0.003704840,
 huge fork Child average:,0.005131884,
small write          kbest:,0.000000803,
small write        average:,0.000000943,
small read          kbest:,0.000000317,
small read        average:,0.000000359,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000455,
small munmap          kbest:,0.000000892,
small munmap        average:,0.000000950,
small page fault          kbest:,0.000000630,
small page fault        average:,0.000000667,
 mid write          kbest:,0.000007198,
 mid write        average:,0.000007558,
  mid read          kbest:,0.000002781,
  mid read        average:,0.000003003,
  mid mmap          kbest:,0.000000408,
  mid mmap        average:,0.000000442,
mid munmap          kbest:,0.000003396,
mid munmap        average:,0.000003569,
mid page fault          kbest:,0.000001186,
mid page fault        average:,0.000001241,
 big write          kbest:,0.000827219,
 big write        average:,0.000856634,
  big read          kbest:,0.000388946,
  big read        average:,0.000407485,
  big mmap          kbest:,0.000000414,
  big mmap        average:,0.000000456,
big munmap          kbest:,0.000141251,
big munmap        average:,0.000144883,
big page fault          kbest:,0.000001793,
big page fault        average:,0.000001883,
huge write          kbest:,0.012717732,
huge write        average:,0.012937061,
 huge read          kbest:,0.019196475,
 huge read        average:,0.019781230,
 huge mmap          kbest:,0.000000407,
 huge mmap        average:,0.000000447,
huge munmap          kbest:,0.001613667,
huge munmap        average:,0.001637755,
huge page fault          kbest:,0.000001785,
huge page fault        average:,0.000001867,
    select          kbest:,0.000000624,
    select        average:,0.000000712,
      poll          kbest:,0.000000557,
      poll        average:,0.000000650,
     epoll          kbest:,0.000000787,
     epoll        average:,0.000000936,
select big          kbest:,0.000051487,
select big        average:,0.000058390,
  poll big          kbest:,0.000065061,
  poll big        average:,0.000074752,
 epoll big          kbest:,0.000088028,
 epoll big        average:,0.000103053,
