OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000043,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003672356,
    getpid          kbest:,0.000000533,
    getpid        average:,0.000000541,
      send          kbest:,0.000000900,
      send        average:,0.000001939,
      recv          kbest:,0.000001325,
      recv        average:,0.000002131,
  big send          kbest:,0.000011021,
  big send        average:,0.000013293,
  big recv          kbest:,0.000019966,
  big recv        average:,0.000031986,
context siwtch          kbest:,0.000005489,
context siwtch        average:,0.000007094,
      fork          kbest:,0.000093771,
      fork       average:,0.000190080,
      fork    Child kbest:,0.000157898,
      fork Child average:,0.000319598,
thr create          kbest:,0.000011711,
thr create       average:,0.000026432,
thr create    Child kbest:,0.000016232,
thr create Child average:,0.000040553,
  big fork          kbest:,0.001842314,
  big fork       average:,0.002636912,
  big fork    Child kbest:,0.002017666,
  big fork Child average:,0.002793507,
 huge fork          kbest:,0.004520299,
 huge fork       average:,0.005921811,
 huge fork    Child kbest:,0.004702764,
 huge fork Child average:,0.006066794,
small write          kbest:,0.000001498,
small write        average:,0.000001788,
small read          kbest:,0.000000834,
small read        average:,0.000000870,
small mmap          kbest:,0.000000972,
small mmap        average:,0.000001015,
small munmap          kbest:,0.000001535,
small munmap        average:,0.000001584,
small page fault          kbest:,0.000001101,
small page fault        average:,0.000001149,
 mid write          kbest:,0.000007923,
 mid write        average:,0.000008215,
  mid read          kbest:,0.000003374,
  mid read        average:,0.000003575,
  mid mmap          kbest:,0.000000961,
  mid mmap        average:,0.000000991,
mid munmap          kbest:,0.000005330,
mid munmap        average:,0.000005552,
mid page fault          kbest:,0.000001690,
mid page fault        average:,0.000001759,
 big write          kbest:,0.000807220,
 big write        average:,0.000827567,
  big read          kbest:,0.000372544,
  big read        average:,0.000380562,
  big mmap          kbest:,0.000000982,
  big mmap        average:,0.000001026,
big munmap          kbest:,0.000134900,
big munmap        average:,0.000138351,
big page fault          kbest:,0.000002373,
big page fault        average:,0.000002599,
huge write          kbest:,0.013174460,
huge write        average:,0.013370246,
 huge read          kbest:,0.019566408,
 huge read        average:,0.019777884,
 huge mmap          kbest:,0.000000976,
 huge mmap        average:,0.000001028,
huge munmap          kbest:,0.001557087,
huge munmap        average:,0.001589020,
huge page fault          kbest:,0.000002361,
huge page fault        average:,0.000002691,
    select          kbest:,0.000001593,
    select        average:,0.000001775,
      poll          kbest:,0.000001537,
      poll        average:,0.000001666,
     epoll          kbest:,0.000001720,
     epoll        average:,0.000001890,
select big          kbest:,0.000114835,
select big        average:,0.000128173,
  poll big          kbest:,0.000127005,
  poll big        average:,0.000140610,
 epoll big          kbest:,0.000149089,
 epoll big        average:,0.000170003,
