OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084588,
       cpu        average:,0.003110216,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
      send          kbest:,0.000000354,
      send        average:,0.000001185,
      recv          kbest:,0.000000481,
      recv        average:,0.000001474,
  big send          kbest:,0.000011096,
  big send        average:,0.000016411,
  big recv          kbest:,0.000016368,
  big recv        average:,0.000029582,
context siwtch          kbest:,0.000002885,
context siwtch        average:,0.000003712,
      fork          kbest:,0.000086309,
      fork       average:,0.000206528,
      fork    Child kbest:,0.000124828,
      fork Child average:,0.000306895,
thr create          kbest:,0.000008132,
thr create       average:,0.000021642,
thr create    Child kbest:,0.000011469,
thr create Child average:,0.000033165,
  big fork          kbest:,0.001799415,
  big fork       average:,0.002338757,
  big fork    Child kbest:,0.001867113,
  big fork Child average:,0.002531001,
 huge fork          kbest:,0.003698793,
 huge fork       average:,0.005027944,
 huge fork    Child kbest:,0.003833884,
 huge fork Child average:,0.005212535,
small write          kbest:,0.000000800,
small write        average:,0.000000957,
small read          kbest:,0.000000315,
small read        average:,0.000000341,
small mmap          kbest:,0.000000423,
small mmap        average:,0.000000454,
small munmap          kbest:,0.000000871,
small munmap        average:,0.000000915,
small page fault          kbest:,0.000000643,
small page fault        average:,0.000000678,
 mid write          kbest:,0.000007070,
 mid write        average:,0.000007454,
  mid read          kbest:,0.000002763,
  mid read        average:,0.000002971,
  mid mmap          kbest:,0.000000405,
  mid mmap        average:,0.000000442,
mid munmap          kbest:,0.000003362,
mid munmap        average:,0.000003559,
mid page fault          kbest:,0.000000646,
mid page fault        average:,0.000000677,
 big write          kbest:,0.000793161,
 big write        average:,0.000824116,
  big read          kbest:,0.000366465,
  big read        average:,0.000376451,
  big mmap          kbest:,0.000000433,
  big mmap        average:,0.000000462,
big munmap          kbest:,0.000140365,
big munmap        average:,0.000144201,
big page fault          kbest:,0.000000856,
big page fault        average:,0.000000919,
huge write          kbest:,0.012613711,
huge write        average:,0.012921053,
 huge read          kbest:,0.019170260,
 huge read        average:,0.019725321,
 huge mmap          kbest:,0.000000438,
 huge mmap        average:,0.000000475,
huge munmap          kbest:,0.001488260,
huge munmap        average:,0.001510040,
huge page fault          kbest:,0.000000854,
huge page fault        average:,0.000000907,
    select          kbest:,0.000000620,
    select        average:,0.000000745,
      poll          kbest:,0.000000559,
      poll        average:,0.000000630,
     epoll          kbest:,0.000000776,
     epoll        average:,0.000000907,
select big          kbest:,0.000051533,
select big        average:,0.000059687,
  poll big          kbest:,0.000064541,
  poll big        average:,0.000072941,
 epoll big          kbest:,0.000088440,
 epoll big        average:,0.000103064,
