OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084590,
       cpu        average:,0.003109943,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000081,
      send          kbest:,0.000000361,
      send        average:,0.000001182,
      recv          kbest:,0.000000479,
      recv        average:,0.000001354,
  big send          kbest:,0.000010362,
  big send        average:,0.000016778,
  big recv          kbest:,0.000016013,
  big recv        average:,0.000029392,
context siwtch          kbest:,0.000002877,
context siwtch        average:,0.000003701,
      fork          kbest:,0.000088413,
      fork       average:,0.000202723,
      fork    Child kbest:,0.000116120,
      fork Child average:,0.000300803,
thr create          kbest:,0.000008185,
thr create       average:,0.000020843,
thr create    Child kbest:,0.000011459,
thr create Child average:,0.000032711,
  big fork          kbest:,0.001781963,
  big fork       average:,0.002328795,
  big fork    Child kbest:,0.001814529,
  big fork Child average:,0.002517221,
 huge fork          kbest:,0.003686859,
 huge fork       average:,0.005031821,
 huge fork    Child kbest:,0.003760045,
 huge fork Child average:,0.005217611,
small write          kbest:,0.000000808,
small write        average:,0.000000949,
small read          kbest:,0.000000315,
small read        average:,0.000000347,
small mmap          kbest:,0.000000424,
small mmap        average:,0.000000466,
small munmap          kbest:,0.000000867,
small munmap        average:,0.000000917,
small page fault          kbest:,0.000000647,
small page fault        average:,0.000000687,
 mid write          kbest:,0.000007057,
 mid write        average:,0.000007441,
  mid read          kbest:,0.000002761,
  mid read        average:,0.000002966,
  mid mmap          kbest:,0.000000405,
  mid mmap        average:,0.000000447,
mid munmap          kbest:,0.000003377,
mid munmap        average:,0.000003723,
mid page fault          kbest:,0.000000647,
mid page fault        average:,0.000000677,
 big write          kbest:,0.000793646,
 big write        average:,0.000820363,
  big read          kbest:,0.000366384,
  big read        average:,0.000373726,
  big mmap          kbest:,0.000000444,
  big mmap        average:,0.000000475,
big munmap          kbest:,0.000139697,
big munmap        average:,0.000143536,
big page fault          kbest:,0.000000860,
big page fault        average:,0.000000911,
huge write          kbest:,0.012721024,
huge write        average:,0.012950263,
 huge read          kbest:,0.019194962,
 huge read        average:,0.019818410,
 huge mmap          kbest:,0.000000440,
 huge mmap        average:,0.000000479,
huge munmap          kbest:,0.001523180,
huge munmap        average:,0.001543902,
huge page fault          kbest:,0.000000867,
huge page fault        average:,0.000000901,
    select          kbest:,0.000000624,
    select        average:,0.000000710,
      poll          kbest:,0.000000560,
      poll        average:,0.000000640,
     epoll          kbest:,0.000000777,
     epoll        average:,0.000000907,
select big          kbest:,0.000051435,
select big        average:,0.000059921,
  poll big          kbest:,0.000064407,
  poll big        average:,0.000074194,
 epoll big          kbest:,0.000088925,
 epoll big        average:,0.000104643,
