OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003103436,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000355,
      send        average:,0.000001265,
      recv          kbest:,0.000000483,
      recv        average:,0.000001440,
  big send          kbest:,0.000010330,
  big send        average:,0.000016228,
  big recv          kbest:,0.000016107,
  big recv        average:,0.000029402,
context siwtch          kbest:,0.000002902,
context siwtch        average:,0.000003725,
      fork          kbest:,0.000084653,
      fork       average:,0.000203687,
      fork    Child kbest:,0.000119167,
      fork Child average:,0.000299675,
thr create          kbest:,0.000008585,
thr create       average:,0.000021150,
thr create    Child kbest:,0.000011317,
thr create Child average:,0.000032811,
  big fork          kbest:,0.001816997,
  big fork       average:,0.002380709,
  big fork    Child kbest:,0.001875152,
  big fork Child average:,0.002569139,
 huge fork          kbest:,0.003720830,
 huge fork       average:,0.005051553,
 huge fork    Child kbest:,0.003863007,
 huge fork Child average:,0.005230864,
small write          kbest:,0.000000871,
small write        average:,0.000001015,
small read          kbest:,0.000000313,
small read        average:,0.000000349,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000467,
small munmap          kbest:,0.000000874,
small munmap        average:,0.000000927,
small page fault          kbest:,0.000000643,
small page fault        average:,0.000000687,
 mid write          kbest:,0.000007136,
 mid write        average:,0.000007553,
  mid read          kbest:,0.000002753,
  mid read        average:,0.000002949,
  mid mmap          kbest:,0.000000407,
  mid mmap        average:,0.000000440,
mid munmap          kbest:,0.000003368,
mid munmap        average:,0.000003534,
mid page fault          kbest:,0.000000643,
mid page fault        average:,0.000000668,
 big write          kbest:,0.000790667,
 big write        average:,0.000814245,
  big read          kbest:,0.000363085,
  big read        average:,0.000377913,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000445,
big munmap          kbest:,0.000140713,
big munmap        average:,0.000144369,
big page fault          kbest:,0.000000859,
big page fault        average:,0.000000910,
huge write          kbest:,0.012614837,
huge write        average:,0.012847458,
 huge read          kbest:,0.019172088,
 huge read        average:,0.019738613,
 huge mmap          kbest:,0.000000401,
 huge mmap        average:,0.000000433,
huge munmap          kbest:,0.001523558,
huge munmap        average:,0.001547025,
huge page fault          kbest:,0.000000861,
huge page fault        average:,0.000000912,
    select          kbest:,0.000000621,
    select        average:,0.000000697,
      poll          kbest:,0.000000561,
      poll        average:,0.000000634,
     epoll          kbest:,0.000000775,
     epoll        average:,0.000000898,
select big          kbest:,0.000051465,
select big        average:,0.000060103,
  poll big          kbest:,0.000064217,
  poll big        average:,0.000072904,
 epoll big          kbest:,0.000088432,
 epoll big        average:,0.000102730,
