OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000028,
       ref        average:,0.000000053,
       cpu          kbest:,0.003084595,
       cpu        average:,0.003574338,
    getpid          kbest:,0.000000528,
    getpid        average:,0.000000540,
      send          kbest:,0.000000894,
      send        average:,0.000001955,
      recv          kbest:,0.000001180,
      recv        average:,0.000002117,
  big send          kbest:,0.000011102,
  big send        average:,0.000013137,
  big recv          kbest:,0.000024489,
  big recv        average:,0.000032235,
context siwtch          kbest:,0.000005517,
context siwtch        average:,0.000006925,
      fork          kbest:,0.000090589,
      fork       average:,0.000188199,
      fork    Child kbest:,0.000155880,
      fork Child average:,0.000318186,
thr create          kbest:,0.000011936,
thr create       average:,0.000026376,
thr create    Child kbest:,0.000015823,
thr create Child average:,0.000040333,
  big fork          kbest:,0.001891256,
  big fork       average:,0.002655731,
  big fork    Child kbest:,0.001943826,
  big fork Child average:,0.002821641,
 huge fork          kbest:,0.004534113,
 huge fork       average:,0.005885798,
 huge fork    Child kbest:,0.004724439,
 huge fork Child average:,0.006036851,
small write          kbest:,0.000001497,
small write        average:,0.000001715,
small read          kbest:,0.000000832,
small read        average:,0.000000873,
small mmap          kbest:,0.000000976,
small mmap        average:,0.000001024,
small munmap          kbest:,0.000001545,
small munmap        average:,0.000001597,
small page fault          kbest:,0.000001097,
small page fault        average:,0.000001132,
 mid write          kbest:,0.000007955,
 mid write        average:,0.000008195,
  mid read          kbest:,0.000003351,
  mid read        average:,0.000003576,
  mid mmap          kbest:,0.000000963,
  mid mmap        average:,0.000001005,
mid munmap          kbest:,0.000005325,
mid munmap        average:,0.000005463,
mid page fault          kbest:,0.000001692,
mid page fault        average:,0.000001757,
 big write          kbest:,0.000807887,
 big write        average:,0.000827213,
  big read          kbest:,0.000375659,
  big read        average:,0.000382971,
  big mmap          kbest:,0.000000985,
  big mmap        average:,0.000001039,
big munmap          kbest:,0.000133813,
big munmap        average:,0.000137463,
big page fault          kbest:,0.000002373,
big page fault        average:,0.000002685,
huge write          kbest:,0.013229042,
huge write        average:,0.013394439,
 huge read          kbest:,0.019673183,
 huge read        average:,0.019904506,
 huge mmap          kbest:,0.000000976,
 huge mmap        average:,0.000001019,
huge munmap          kbest:,0.001535754,
huge munmap        average:,0.001566598,
huge page fault          kbest:,0.000002370,
huge page fault        average:,0.000002684,
    select          kbest:,0.000001583,
    select        average:,0.000001769,
      poll          kbest:,0.000001542,
      poll        average:,0.000001649,
     epoll          kbest:,0.000001723,
     epoll        average:,0.000001901,
select big          kbest:,0.000114807,
select big        average:,0.000128624,
  poll big          kbest:,0.000125616,
  poll big        average:,0.000139375,
 epoll big          kbest:,0.000149408,
 epoll big        average:,0.000167128,
