OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000034,
       cpu          kbest:,0.003084580,
       cpu        average:,0.003124403,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
      send          kbest:,0.000000325,
      send        average:,0.000001124,
      recv          kbest:,0.000000473,
      recv        average:,0.000001719,
  big send          kbest:,0.000010059,
  big send        average:,0.000015420,
  big recv          kbest:,0.000015356,
  big recv        average:,0.000028721,
context siwtch          kbest:,0.000002884,
context siwtch        average:,0.000003717,
      fork          kbest:,0.000081855,
      fork       average:,0.000192481,
      fork    Child kbest:,0.000107191,
      fork Child average:,0.000285367,
thr create          kbest:,0.000008502,
thr create       average:,0.000019947,
thr create    Child kbest:,0.000011427,
thr create Child average:,0.000031161,
  big fork          kbest:,0.001659591,
  big fork       average:,0.002151518,
  big fork    Child kbest:,0.001656305,
  big fork Child average:,0.002349706,
 huge fork          kbest:,0.003530573,
 huge fork       average:,0.004785357,
 huge fork    Child kbest:,0.003431539,
 huge fork Child average:,0.004978210,
small write          kbest:,0.000000803,
small write        average:,0.000000935,
small read          kbest:,0.000000318,
small read        average:,0.000000345,
small mmap          kbest:,0.000000399,
small mmap        average:,0.000000437,
small munmap          kbest:,0.000000748,
small munmap        average:,0.000000818,
small page fault          kbest:,0.000000625,
small page fault        average:,0.000000657,
 mid write          kbest:,0.000007109,
 mid write        average:,0.000007495,
  mid read          kbest:,0.000002880,
  mid read        average:,0.000003050,
  mid mmap          kbest:,0.000000383,
  mid mmap        average:,0.000000409,
mid munmap          kbest:,0.000003013,
mid munmap        average:,0.000003153,
mid page fault          kbest:,0.000001144,
mid page fault        average:,0.000001201,
 big write          kbest:,0.000798267,
 big write        average:,0.000821005,
  big read          kbest:,0.000370571,
  big read        average:,0.000386369,
  big mmap          kbest:,0.000000385,
  big mmap        average:,0.000000415,
big munmap          kbest:,0.000130243,
big munmap        average:,0.000135724,
big page fault          kbest:,0.000001672,
big page fault        average:,0.000001764,
huge write          kbest:,0.012873485,
huge write        average:,0.013004185,
 huge read          kbest:,0.019005106,
 huge read        average:,0.019493171,
 huge mmap          kbest:,0.000000379,
 huge mmap        average:,0.000000414,
huge munmap          kbest:,0.001644026,
huge munmap        average:,0.001669476,
huge page fault          kbest:,0.000001676,
huge page fault        average:,0.000001740,
    select          kbest:,0.000000626,
    select        average:,0.000000705,
      poll          kbest:,0.000000569,
      poll        average:,0.000000636,
     epoll          kbest:,0.000000785,
     epoll        average:,0.000000900,
select big          kbest:,0.000055387,
select big        average:,0.000063638,
  poll big          kbest:,0.000068333,
  poll big        average:,0.000077842,
 epoll big          kbest:,0.000092647,
 epoll big        average:,0.000107319,
