OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084589,
       cpu        average:,0.003105021,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
      send          kbest:,0.000000353,
      send        average:,0.000001241,
      recv          kbest:,0.000000481,
      recv        average:,0.000001345,
  big send          kbest:,0.000010492,
  big send        average:,0.000016510,
  big recv          kbest:,0.000015872,
  big recv        average:,0.000029828,
context siwtch          kbest:,0.000002909,
context siwtch        average:,0.000003729,
      fork          kbest:,0.000085339,
      fork       average:,0.000203445,
      fork    Child kbest:,0.000122826,
      fork Child average:,0.000301321,
thr create          kbest:,0.000008879,
thr create       average:,0.000021322,
thr create    Child kbest:,0.000011724,
thr create Child average:,0.000032892,
  big fork          kbest:,0.001815075,
  big fork       average:,0.002361339,
  big fork    Child kbest:,0.001848661,
  big fork Child average:,0.002552636,
 huge fork          kbest:,0.003694760,
 huge fork       average:,0.005049238,
 huge fork    Child kbest:,0.003819568,
 huge fork Child average:,0.005232427,
small write          kbest:,0.000000809,
small write        average:,0.000000951,
small read          kbest:,0.000000317,
small read        average:,0.000000357,
small mmap          kbest:,0.000000428,
small mmap        average:,0.000000467,
small munmap          kbest:,0.000000875,
small munmap        average:,0.000000914,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000688,
 mid write          kbest:,0.000007116,
 mid write        average:,0.000007515,
  mid read          kbest:,0.000002754,
  mid read        average:,0.000003021,
  mid mmap          kbest:,0.000000408,
  mid mmap        average:,0.000000451,
mid munmap          kbest:,0.000003339,
mid munmap        average:,0.000003480,
mid page fault          kbest:,0.000000643,
mid page fault        average:,0.000000666,
 big write          kbest:,0.000794998,
 big write        average:,0.000824487,
  big read          kbest:,0.000369530,
  big read        average:,0.000385808,
  big mmap          kbest:,0.000000441,
  big mmap        average:,0.000000482,
big munmap          kbest:,0.000139467,
big munmap        average:,0.000143312,
big page fault          kbest:,0.000000857,
big page fault        average:,0.000000925,
huge write          kbest:,0.012711835,
huge write        average:,0.012894671,
 huge read          kbest:,0.019177808,
 huge read        average:,0.019693880,
 huge mmap          kbest:,0.000000447,
 huge mmap        average:,0.000000491,
huge munmap          kbest:,0.001505551,
huge munmap        average:,0.001532167,
huge page fault          kbest:,0.000000856,
huge page fault        average:,0.000000899,
    select          kbest:,0.000000615,
    select        average:,0.000000707,
      poll          kbest:,0.000000561,
      poll        average:,0.000000638,
     epoll          kbest:,0.000000770,
     epoll        average:,0.000000895,
select big          kbest:,0.000050979,
select big        average:,0.000058245,
  poll big          kbest:,0.000063989,
  poll big        average:,0.000072440,
 epoll big          kbest:,0.000088339,
 epoll big        average:,0.000103694,
