OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000030,
       cpu          kbest:,0.003084593,
       cpu        average:,0.003812394,
    getpid          kbest:,0.000000530,
    getpid        average:,0.000000541,
      send          kbest:,0.000000897,
      send        average:,0.000001979,
      recv          kbest:,0.000001183,
      recv        average:,0.000002098,
  big send          kbest:,0.000010522,
  big send        average:,0.000013247,
  big recv          kbest:,0.000020764,
  big recv        average:,0.000031940,
context siwtch          kbest:,0.000005468,
context siwtch        average:,0.000006866,
      fork          kbest:,0.000091396,
      fork       average:,0.000191873,
      fork    Child kbest:,0.000151091,
      fork Child average:,0.000320512,
thr create          kbest:,0.000012295,
thr create       average:,0.000026081,
thr create    Child kbest:,0.000017261,
thr create Child average:,0.000039675,
  big fork          kbest:,0.001898500,
  big fork       average:,0.002651575,
  big fork    Child kbest:,0.002024515,
  big fork Child average:,0.002817490,
 huge fork          kbest:,0.004541317,
 huge fork       average:,0.005915141,
 huge fork    Child kbest:,0.004737043,
 huge fork Child average:,0.006070732,
small write          kbest:,0.000001500,
small write        average:,0.000001718,
small read          kbest:,0.000000836,
small read        average:,0.000000874,
small mmap          kbest:,0.000000980,
small mmap        average:,0.000001030,
small munmap          kbest:,0.000001548,
small munmap        average:,0.000001631,
small page fault          kbest:,0.000001099,
small page fault        average:,0.000001139,
 mid write          kbest:,0.000007979,
 mid write        average:,0.000008239,
  mid read          kbest:,0.000003377,
  mid read        average:,0.000003577,
  mid mmap          kbest:,0.000000963,
  mid mmap        average:,0.000000997,
mid munmap          kbest:,0.000005336,
mid munmap        average:,0.000005494,
mid page fault          kbest:,0.000001695,
mid page fault        average:,0.000001755,
 big write          kbest:,0.000819087,
 big write        average:,0.000839288,
  big read          kbest:,0.000383572,
  big read        average:,0.000391577,
  big mmap          kbest:,0.000000990,
  big mmap        average:,0.000001031,
big munmap          kbest:,0.000133742,
big munmap        average:,0.000136665,
big page fault          kbest:,0.000002396,
big page fault        average:,0.000002661,
huge write          kbest:,0.013218964,
huge write        average:,0.013443743,
 huge read          kbest:,0.019593720,
 huge read        average:,0.019909576,
 huge mmap          kbest:,0.000000969,
 huge mmap        average:,0.000001034,
huge munmap          kbest:,0.001523948,
huge munmap        average:,0.001552677,
huge page fault          kbest:,0.000002382,
huge page fault        average:,0.000002711,
    select          kbest:,0.000001584,
    select        average:,0.000001695,
      poll          kbest:,0.000001529,
      poll        average:,0.000001644,
     epoll          kbest:,0.000001711,
     epoll        average:,0.000001859,
select big          kbest:,0.000114927,
select big        average:,0.000126875,
  poll big          kbest:,0.000125658,
  poll big        average:,0.000139601,
 epoll big          kbest:,0.000149343,
 epoll big        average:,0.000165878,
