OS Benchmark experiment
Test Name:,4.12.0-patch,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084587,
       cpu        average:,0.003117475,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000080,
      send          kbest:,0.000000353,
      send        average:,0.000001273,
      recv          kbest:,0.000000479,
      recv        average:,0.000001382,
  big send          kbest:,0.000010115,
  big send        average:,0.000016534,
  big recv          kbest:,0.000016260,
  big recv        average:,0.000028650,
context siwtch          kbest:,0.000002892,
context siwtch        average:,0.000003721,
      fork          kbest:,0.000082024,
      fork       average:,0.000200472,
      fork    Child kbest:,0.000126467,
      fork Child average:,0.000300153,
thr create          kbest:,0.000008513,
thr create       average:,0.000021005,
thr create    Child kbest:,0.000011729,
thr create Child average:,0.000032776,
  big fork          kbest:,0.001819639,
  big fork       average:,0.002371089,
  big fork    Child kbest:,0.001858034,
  big fork Child average:,0.002562814,
 huge fork          kbest:,0.003703864,
 huge fork       average:,0.005035869,
 huge fork    Child kbest:,0.003833355,
 huge fork Child average:,0.005218098,
small write          kbest:,0.000000814,
small write        average:,0.000000982,
small read          kbest:,0.000000314,
small read        average:,0.000000349,
small mmap          kbest:,0.000000421,
small mmap        average:,0.000000454,
small munmap          kbest:,0.000000865,
small munmap        average:,0.000000923,
small page fault          kbest:,0.000000644,
small page fault        average:,0.000000674,
 mid write          kbest:,0.000007200,
 mid write        average:,0.000007524,
  mid read          kbest:,0.000002762,
  mid read        average:,0.000002985,
  mid mmap          kbest:,0.000000402,
  mid mmap        average:,0.000000441,
mid munmap          kbest:,0.000003351,
mid munmap        average:,0.000003531,
mid page fault          kbest:,0.000000643,
mid page fault        average:,0.000000682,
 big write          kbest:,0.000801946,
 big write        average:,0.000828813,
  big read          kbest:,0.000366635,
  big read        average:,0.000382229,
  big mmap          kbest:,0.000000430,
  big mmap        average:,0.000000473,
big munmap          kbest:,0.000139055,
big munmap        average:,0.000143853,
big page fault          kbest:,0.000000851,
big page fault        average:,0.000000915,
huge write          kbest:,0.012807806,
huge write        average:,0.013011742,
 huge read          kbest:,0.019288905,
 huge read        average:,0.019852057,
 huge mmap          kbest:,0.000000434,
 huge mmap        average:,0.000000473,
huge munmap          kbest:,0.001512036,
huge munmap        average:,0.001537818,
huge page fault          kbest:,0.000000850,
huge page fault        average:,0.000000905,
    select          kbest:,0.000000618,
    select        average:,0.000000709,
      poll          kbest:,0.000000559,
      poll        average:,0.000000648,
     epoll          kbest:,0.000000772,
     epoll        average:,0.000000899,
select big          kbest:,0.000051340,
select big        average:,0.000058141,
  poll big          kbest:,0.000064195,
  poll big        average:,0.000072358,
 epoll big          kbest:,0.000088318,
 epoll big        average:,0.000102127,
