OS Benchmark experiment
Test Name:,4.12.0-config,
       ref          kbest:,0.000000028,
       ref        average:,0.000000032,
       cpu          kbest:,0.003084584,
       cpu        average:,0.003102188,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000084,
      send          kbest:,0.000000328,
      send        average:,0.000001103,
      recv          kbest:,0.000000477,
      recv        average:,0.000001549,
  big send          kbest:,0.000009528,
  big send        average:,0.000016114,
  big recv          kbest:,0.000014729,
  big recv        average:,0.000027390,
context siwtch          kbest:,0.000002888,
context siwtch        average:,0.000003729,
      fork          kbest:,0.000081130,
      fork       average:,0.000196014,
      fork    Child kbest:,0.000113702,
      fork Child average:,0.000293750,
thr create          kbest:,0.000008035,
thr create       average:,0.000019811,
thr create    Child kbest:,0.000011364,
thr create Child average:,0.000031954,
  big fork          kbest:,0.001642736,
  big fork       average:,0.002144608,
  big fork    Child kbest:,0.001689848,
  big fork Child average:,0.002342037,
 huge fork          kbest:,0.003593211,
 huge fork       average:,0.004811600,
 huge fork    Child kbest:,0.003693463,
 huge fork Child average:,0.005013636,
small write          kbest:,0.000000806,
small write        average:,0.000000935,
small read          kbest:,0.000000322,
small read        average:,0.000000362,
small mmap          kbest:,0.000000401,
small mmap        average:,0.000000433,
small munmap          kbest:,0.000000743,
small munmap        average:,0.000000796,
small page fault          kbest:,0.000000629,
small page fault        average:,0.000000813,
 mid write          kbest:,0.000007052,
 mid write        average:,0.000007374,
  mid read          kbest:,0.000002775,
  mid read        average:,0.000002983,
  mid mmap          kbest:,0.000000384,
  mid mmap        average:,0.000000419,
mid munmap          kbest:,0.000002991,
mid munmap        average:,0.000003101,
mid page fault          kbest:,0.000001148,
mid page fault        average:,0.000001207,
 big write          kbest:,0.000804350,
 big write        average:,0.000834255,
  big read          kbest:,0.000375903,
  big read        average:,0.000387581,
  big mmap          kbest:,0.000000410,
  big mmap        average:,0.000000435,
big munmap          kbest:,0.000132958,
big munmap        average:,0.000137833,
big page fault          kbest:,0.000001673,
big page fault        average:,0.000001740,
huge write          kbest:,0.012867875,
huge write        average:,0.012994980,
 huge read          kbest:,0.019040159,
 huge read        average:,0.019520130,
 huge mmap          kbest:,0.000000416,
 huge mmap        average:,0.000000443,
huge munmap          kbest:,0.001609661,
huge munmap        average:,0.001633456,
huge page fault          kbest:,0.000001673,
huge page fault        average:,0.000001740,
    select          kbest:,0.000000623,
    select        average:,0.000000746,
      poll          kbest:,0.000000562,
      poll        average:,0.000000669,
     epoll          kbest:,0.000000778,
     epoll        average:,0.000000937,
select big          kbest:,0.000056544,
select big        average:,0.000064472,
  poll big          kbest:,0.000069802,
  poll big        average:,0.000078620,
 epoll big          kbest:,0.000094094,
 epoll big        average:,0.000108275,
