OS Benchmark experiment
Test Name:,4.12.0-standard,
       ref          kbest:,0.000000028,
       ref        average:,0.000000033,
       cpu          kbest:,0.003084592,
       cpu        average:,0.003130503,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000081,
      send          kbest:,0.000000358,
      send        average:,0.000001172,
      recv          kbest:,0.000000477,
      recv        average:,0.000001541,
  big send          kbest:,0.000010055,
  big send        average:,0.000016521,
  big recv          kbest:,0.000016632,
  big recv        average:,0.000028601,
context siwtch          kbest:,0.000002898,
context siwtch        average:,0.000003721,
      fork          kbest:,0.000086500,
      fork       average:,0.000201977,
      fork    Child kbest:,0.000117494,
      fork Child average:,0.000308030,
thr create          kbest:,0.000008917,
thr create       average:,0.000021138,
thr create    Child kbest:,0.000011768,
thr create Child average:,0.000033419,
  big fork          kbest:,0.001767276,
  big fork       average:,0.002305655,
  big fork    Child kbest:,0.001679559,
  big fork Child average:,0.002511892,
 huge fork          kbest:,0.003575159,
 huge fork       average:,0.004952138,
 huge fork    Child kbest:,0.003702604,
 huge fork Child average:,0.005147413,
small write          kbest:,0.000000806,
small write        average:,0.000000920,
small read          kbest:,0.000000316,
small read        average:,0.000000353,
small mmap          kbest:,0.000000422,
small mmap        average:,0.000000461,
small munmap          kbest:,0.000000861,
small munmap        average:,0.000000905,
small page fault          kbest:,0.000000625,
small page fault        average:,0.000000667,
 mid write          kbest:,0.000007170,
 mid write        average:,0.000007495,
  mid read          kbest:,0.000002776,
  mid read        average:,0.000003014,
  mid mmap          kbest:,0.000000406,
  mid mmap        average:,0.000000436,
mid munmap          kbest:,0.000003357,
mid munmap        average:,0.000003530,
mid page fault          kbest:,0.000001171,
mid page fault        average:,0.000001273,
 big write          kbest:,0.000810886,
 big write        average:,0.000839251,
  big read          kbest:,0.000374712,
  big read        average:,0.000388453,
  big mmap          kbest:,0.000000430,
  big mmap        average:,0.000000475,
big munmap          kbest:,0.000138245,
big munmap        average:,0.000142607,
big page fault          kbest:,0.000001763,
big page fault        average:,0.000001866,
huge write          kbest:,0.012700248,
huge write        average:,0.012964388,
 huge read          kbest:,0.019192036,
 huge read        average:,0.019785450,
 huge mmap          kbest:,0.000000436,
 huge mmap        average:,0.000000479,
huge munmap          kbest:,0.001453780,
huge munmap        average:,0.001487197,
huge page fault          kbest:,0.000001973,
huge page fault        average:,0.000002090,
    select          kbest:,0.000000617,
    select        average:,0.000000700,
      poll          kbest:,0.000000580,
      poll        average:,0.000000666,
     epoll          kbest:,0.000000778,
     epoll        average:,0.000000963,
select big          kbest:,0.000051059,
select big        average:,0.000058527,
  poll big          kbest:,0.000065349,
  poll big        average:,0.000075308,
 epoll big          kbest:,0.000087863,
 epoll big        average:,0.000102118,
